gameid,time,roundNum,clickStatus,clickP1,clickP2,clickP3,clickP4,clickP5,clickP6,clickP7,clickP8,clickLocS,clickLocL,alt1Status,alt1P1,alt1P2,alt1P3,alt1P4,alt1P5,alt1P6,alt1P7,alt1P8,alt1LocS,alt1LocL,alt2Status,alt2P1,alt2P2,alt2P3,alt2P4,alt2P5,alt2P6,alt2P7,alt2P8,alt2LocS,alt2LocL,outcome
3550-f,1461003458360,1,target, 91, 84, 132, 207, 72, 96, 74, 123, 1, 3, distr1, 158, 115, 149, 221, 239, 105, 157, 198, 2, 2, distr2, 241, 213, 116, 135, 177, 140, 52, 51, 3, 1, true
3550-f,1461003491435,2,target, 233, 85, 177, 164, 182, 174, 168, 54, 2, 2, distr2, 137, 182, 234, 89, 85, 197, 54, 132, 3, 1, distr1, 98, 140, 115, 57, 101, 66, 248, 169, 1, 3, true
3550-f,1461003550199,3,target, 60, 150, 117, 75, 149, 136, 146, 103, 3, 3, distr1, 88, 246, 168, 166, 218, 169, 241, 57, 2, 2, distr2, 161, 101, 133, 131, 235, 162, 114, 181, 1, 1, true
3550-f,1461003571974,4,target, 87, 176, 156, 196, 147, 210, 119, 159, 1, 3, distr2, 118, 192, 151, 202, 158, 178, 176, 93, 3, 1, distr1, 107, 177, 136, 83, 127, 212, 195, 211, 2, 2, true
3550-f,1461003597188,5,target, 111, 214, 74, 98, 141, 247, 124, 230, 3, 3, distr1, 52, 234, 61, 202, 97, 127, 89, 230, 1, 1, distr2, 224, 80, 84, 180, 87, 178, 215, 210, 2, 2, true
3550-f,1461003616298,6,target, 128, 218, 74, 193, 115, 91, 229, 84, 2, 2, distr1, 225, 112, 121, 60, 156, 200, 54, 175, 3, 1, distr2, 90, 96, 75, 79, 118, 111, 123, 184, 1, 3, true
3550-f,1461003651974,7,target, 87, 103, 134, 144, 242, 79, 218, 229, 1, 2, distr2, 158, 52, 165, 118, 116, 141, 243, 93, 2, 1, distr1, 215, 154, 102, 164, 173, 69, 187, 151, 3, 3, true
3550-f,1461003693115,8,target, 117, 180, 169, 134, 75, 159, 195, 50, 2, 3, distr1, 165, 123, 108, 82, 193, 200, 244, 178, 1, 1, distr2, 150, 127, 56, 247, 167, 190, 67, 168, 3, 2, true
3550-f,1461003709933,9,target, 128, 213, 58, 142, 110, 96, 222, 118, 3, 1, distr1, 105, 94, 51, 198, 146, 177, 127, 102, 2, 2, distr2, 183, 203, 184, 111, 152, 204, 188, 101, 1, 3, true
3550-f,1461003748588,10,target, 163, 68, 66, 120, 130, 226, 89, 103, 3, 2, distr2, 240, 142, 66, 114, 108, 122, 81, 155, 1, 3, distr1, 119, 77, 70, 166, 184, 82, 218, 112, 2, 1, true
3550-f,1461003773789,11,distr2, 147, 189, 243, 154, 59, 99, 169, 151, 3, 3, target, 191, 244, 55, 203, 225, 83, 174, 168, 2, 2, distr1, 112, 121, 233, 65, 151, 99, 142, 245, 1, 1, false
3550-f,1461003785963,12,target, 103, 221, 70, 118, 112, 230, 58, 75, 1, 3, distr2, 165, 91, 52, 167, 127, 145, 198, 194, 2, 2, distr1, 205, 88, 212, 227, 158, 124, 155, 225, 3, 1, true
3550-f,1461003822952,13,target, 223, 138, 95, 52, 153, 166, 224, 178, 3, 3, distr1, 145, 210, 61, 96, 100, 187, 72, 176, 2, 1, distr2, 185, 50, 77, 169, 181, 62, 221, 219, 1, 2, true
3550-f,1461003858855,14,target, 109, 119, 240, 179, 136, 215, 112, 185, 2, 1, distr1, 143, 56, 67, 159, 242, 128, 69, 172, 3, 3, distr2, 81, 54, 158, 84, 62, 60, 178, 176, 1, 2, true
3550-f,1461003877128,15,target, 242, 106, 182, 100, 174, 243, 190, 234, 1, 1, distr2, 172, 155, 225, 189, 63, 163, 221, 103, 3, 2, distr1, 81, 137, 135, 158, 86, 225, 136, 143, 2, 3, true
3550-f,1461003893399,16,target, 188, 122, 232, 112, 51, 140, 210, 238, 1, 3, distr1, 215, 115, 170, 157, 240, 133, 147, 237, 2, 1, distr2, 117, 156, 104, 247, 69, 238, 65, 126, 3, 2, true
3550-f,1461003906269,17,target, 185, 102, 210, 200, 239, 98, 172, 156, 1, 2, distr2, 121, 230, 225, 221, 209, 106, 222, 200, 3, 1, distr1, 76, 150, 243, 194, 195, 91, 182, 101, 2, 3, true
3550-f,1461003921899,18,target, 159, 138, 211, 156, 64, 139, 223, 152, 2, 3, distr2, 74, 163, 229, 227, 128, 157, 115, 207, 1, 1, distr1, 90, 65, 116, 212, 69, 158, 52, 134, 3, 2, true
3550-f,1461003935690,19,target, 150, 90, 91, 209, 79, 106, 74, 171, 3, 2, distr1, 56, 124, 133, 247, 178, 165, 234, 148, 2, 3, distr2, 213, 88, 115, 112, 122, 84, 70, 127, 1, 1, true
3550-f,1461003957629,20,target, 121, 53, 98, 206, 147, 126, 230, 219, 1, 3, distr2, 58, 52, 164, 111, 69, 82, 214, 107, 3, 2, distr1, 54, 198, 111, 151, 114, 166, 224, 202, 2, 1, true
