gameid,time,roundNum,clickStatus,clickP1,clickP2,clickP3,clickP4,clickP5,clickP6,clickP7,clickP8,clickLocS,clickLocL,alt1Status,alt1P1,alt1P2,alt1P3,alt1P4,alt1P5,alt1P6,alt1P7,alt1P8,alt1LocS,alt1LocL,alt2Status,alt2P1,alt2P2,alt2P3,alt2P4,alt2P5,alt2P6,alt2P7,alt2P8,alt2LocS,alt2LocL,outcome
7096-6,1461004599099,1,target, 162, 79, 152, 138, 99, 240, 82, 210, 3, 3, distr2, 89, 129, 156, 77, 148, 191, 207, 194, 2, 2, distr1, 82, 190, 201, 90, 177, 212, 128, 188, 1, 1, true
7096-6,1461004624834,2,target, 127, 210, 67, 223, 187, 140, 183, 128, 1, 3, distr2, 113, 151, 221, 71, 239, 79, 152, 147, 2, 1, distr1, 86, 224, 242, 208, 226, 82, 76, 62, 3, 2, true
7096-6,1461004650456,3,target, 69, 128, 120, 107, 216, 139, 176, 229, 3, 3, distr1, 223, 67, 141, 126, 80, 100, 208, 174, 1, 2, distr2, 174, 68, 230, 121, 65, 140, 72, 222, 2, 1, true
7096-6,1461004684730,4,target, 165, 141, 79, 239, 244, 178, 90, 202, 3, 1, distr1, 207, 171, 220, 124, 125, 86, 129, 149, 2, 2, distr2, 229, 241, 124, 239, 209, 62, 67, 163, 1, 3, true
7096-6,1461004713011,5,target, 104, 53, 176, 246, 220, 52, 109, 101, 2, 2, distr2, 206, 185, 50, 116, 152, 201, 240, 80, 1, 1, distr1, 87, 140, 72, 223, 110, 201, 141, 167, 3, 3, true
7096-6,1461004746230,6,distr2, 54, 50, 96, 217, 90, 104, 163, 199, 2, 2, target, 117, 126, 50, 229, 99, 121, 90, 154, 3, 3, distr1, 109, 184, 183, 76, 69, 234, 185, 55, 1, 1, false
7096-6,1461004802447,7,target, 182, 106, 157, 145, 199, 92, 80, 54, 1, 3, distr2, 227, 167, 234, 240, 230, 129, 139, 233, 2, 2, distr1, 212, 52, 220, 233, 227, 136, 122, 96, 3, 1, true
7096-6,1461004827201,8,target, 221, 249, 195, 55, 204, 210, 144, 230, 2, 1, distr2, 109, 63, 101, 220, 143, 59, 183, 198, 1, 3, distr1, 115, 166, 214, 130, 112, 154, 182, 53, 3, 2, true
7096-6,1461004877077,9,target, 162, 150, 203, 248, 94, 223, 177, 192, 2, 2, distr2, 187, 211, 216, 131, 218, 117, 139, 79, 1, 1, distr1, 132, 238, 137, 231, 72, 222, 78, 102, 3, 3, true
7096-6,1461004901378,10,target, 139, 182, 146, 105, 162, 82, 123, 73, 2, 3, distr2, 110, 239, 196, 249, 126, 120, 231, 60, 3, 2, distr1, 179, 78, 66, 131, 98, 192, 115, 77, 1, 1, true
7096-6,1461004915060,11,target, 110, 124, 55, 158, 127, 73, 74, 113, 2, 1, distr1, 62, 103, 213, 78, 107, 113, 192, 88, 1, 2, distr2, 58, 95, 81, 213, 158, 188, 197, 59, 3, 3, true
7096-6,1461004933394,12,target, 146, 82, 75, 72, 126, 149, 170, 148, 3, 2, distr1, 197, 223, 239, 246, 83, 222, 191, 155, 1, 3, distr2, 181, 221, 125, 156, 194, 216, 193, 103, 2, 1, true
7096-6,1461004966047,13,target, 189, 77, 92, 116, 230, 245, 163, 194, 2, 3, distr1, 67, 116, 204, 178, 92, 56, 168, 94, 3, 2, distr2, 228, 65, 86, 227, 59, 124, 163, 195, 1, 1, true
7096-6,1461004985258,14,target, 164, 202, 113, 187, 115, 67, 88, 65, 1, 1, distr1, 248, 194, 191, 163, 227, 224, 106, 120, 2, 3, distr2, 170, 106, 97, 152, 52, 64, 218, 183, 3, 2, true
7096-6,1461004999274,15,target, 157, 234, 115, 161, 171, 175, 101, 189, 2, 3, distr2, 198, 174, 176, 119, 69, 193, 130, 54, 3, 2, distr1, 149, 245, 173, 133, 249, 111, 98, 89, 1, 1, true
7096-6,1461005033865,16,target, 74, 70, 184, 189, 57, 151, 137, 138, 1, 2, distr2, 227, 118, 71, 136, 87, 80, 207, 54, 2, 3, distr1, 147, 246, 150, 217, 79, 152, 236, 190, 3, 1, true
7096-6,1461005058560,17,target, 87, 240, 213, 152, 118, 111, 104, 246, 2, 3, distr2, 133, 216, 50, 204, 164, 56, 139, 200, 3, 2, distr1, 191, 188, 66, 61, 164, 203, 94, 125, 1, 1, true
7096-6,1461005068163,18,target, 185, 56, 110, 206, 101, 90, 239, 82, 3, 2, distr1, 227, 177, 182, 193, 85, 245, 238, 204, 2, 3, distr2, 154, 215, 155, 159, 51, 63, 173, 156, 1, 1, true
7096-6,1461005111864,19,target, 142, 108, 247, 248, 55, 115, 59, 83, 1, 2, distr1, 113, 232, 64, 125, 131, 117, 69, 103, 2, 3, distr2, 154, 181, 93, 222, 161, 70, 246, 166, 3, 1, true
7096-6,1461005148517,20,target, 109, 211, 110, 77, 172, 75, 191, 108, 1, 2, distr2, 89, 176, 200, 107, 178, 179, 173, 180, 2, 3, distr1, 136, 120, 224, 242, 163, 221, 83, 58, 3, 1, true
7096-6,1461005209467,21,target, 192, 108, 114, 123, 207, 84, 226, 69, 1, 1, distr1, 202, 81, 108, 100, 238, 124, 154, 189, 2, 3, distr2, 109, 143, 107, 123, 137, 179, 101, 65, 3, 2, true
7096-6,1461005232269,22,target, 100, 209, 76, 51, 84, 133, 68, 176, 1, 2, distr2, 73, 242, 119, 108, 247, 68, 222, 76, 3, 1, distr1, 236, 69, 89, 150, 121, 173, 194, 166, 2, 3, true
7096-6,1461005251523,23,target, 213, 128, 87, 147, 229, 248, 115, 85, 1, 1, distr2, 108, 156, 95, 223, 177, 162, 193, 166, 3, 2, distr1, 179, 196, 131, 212, 106, 79, 50, 211, 2, 3, true
7096-6,1461005287357,24,target, 244, 205, 235, 68, 182, 82, 204, 172, 3, 2, distr2, 226, 238, 78, 224, 208, 183, 200, 206, 1, 1, distr1, 133, 89, 111, 86, 58, 113, 53, 171, 2, 3, true
7096-6,1461005328979,25,target, 62, 52, 187, 162, 118, 246, 198, 186, 1, 2, distr2, 83, 117, 160, 249, 104, 142, 208, 67, 2, 3, distr1, 89, 184, 148, 91, 227, 178, 96, 157, 3, 1, true
7096-6,1461005363030,26,target, 134, 85, 146, 121, 217, 185, 116, 213, 2, 1, distr1, 95, 170, 188, 163, 68, 73, 219, 121, 3, 3, distr2, 189, 191, 70, 123, 94, 158, 188, 207, 1, 2, true
7096-6,1461005371909,27,target, 141, 140, 56, 242, 245, 198, 55, 143, 3, 3, distr2, 203, 178, 187, 86, 146, 97, 62, 96, 1, 2, distr1, 97, 222, 69, 196, 108, 141, 232, 138, 2, 1, true
7096-6,1461005381595,28,target, 213, 158, 177, 71, 69, 150, 77, 66, 1, 3, distr2, 134, 82, 166, 94, 164, 207, 185, 104, 3, 2, distr1, 184, 93, 194, 230, 134, 215, 105, 243, 2, 1, true
7096-6,1461005397990,29,target, 216, 172, 134, 174, 142, 188, 167, 159, 3, 3, distr1, 140, 167, 219, 235, 223, 86, 124, 127, 1, 1, distr2, 245, 99, 164, 241, 153, 94, 132, 60, 2, 2, true
7096-6,1461005435622,30,target, 99, 178, 65, 236, 241, 51, 140, 172, 1, 3, distr1, 149, 64, 62, 50, 193, 162, 190, 211, 2, 2, distr2, 232, 168, 73, 155, 83, 75, 143, 245, 3, 1, true
7096-6,1461005465634,31,target, 179, 204, 231, 65, 166, 148, 152, 215, 2, 3, distr2, 65, 162, 222, 168, 96, 91, 216, 170, 1, 2, distr1, 72, 181, 223, 143, 95, 219, 104, 71, 3, 1, true
7096-6,1461005480149,32,target, 103, 106, 226, 161, 224, 240, 60, 59, 1, 1, distr2, 80, 87, 144, 113, 217, 101, 157, 244, 2, 2, distr1, 180, 133, 148, 128, 240, 187, 210, 65, 3, 3, true
7096-6,1461005496303,33,target, 234, 115, 157, 148, 98, 224, 165, 127, 2, 3, distr1, 55, 121, 217, 183, 172, 192, 174, 229, 3, 1, distr2, 113, 71, 238, 248, 194, 232, 218, 163, 1, 2, true
7096-6,1461005508502,34,target, 66, 247, 87, 208, 115, 241, 219, 232, 3, 1, distr1, 117, 221, 125, 89, 172, 170, 188, 182, 1, 2, distr2, 127, 170, 162, 81, 202, 118, 50, 51, 2, 3, true
7096-6,1461005544222,35,target, 120, 149, 58, 147, 197, 232, 87, 105, 2, 1, distr1, 225, 133, 90, 235, 228, 72, 142, 100, 1, 2, distr2, 85, 58, 181, 51, 151, 227, 150, 147, 3, 3, true
7096-6,1461005574110,36,target, 227, 117, 218, 56, 111, 121, 133, 104, 2, 3, distr2, 81, 236, 179, 177, 74, 170, 180, 141, 3, 2, distr1, 85, 236, 241, 154, 50, 86, 165, 70, 1, 1, true
7096-6,1461005595720,37,target, 210, 157, 236, 209, 66, 231, 59, 107, 1, 3, distr1, 185, 212, 173, 136, 51, 120, 162, 187, 2, 2, distr2, 182, 231, 225, 167, 235, 121, 128, 214, 3, 1, true
7096-6,1461005629847,38,target, 185, 61, 171, 55, 246, 77, 231, 114, 3, 2, distr1, 69, 248, 222, 245, 132, 51, 143, 192, 1, 3, distr2, 153, 106, 244, 173, 164, 157, 191, 147, 2, 1, true
7096-6,1461005675317,39,target, 62, 187, 207, 232, 81, 114, 107, 223, 3, 1, distr2, 224, 108, 158, 134, 161, 93, 149, 226, 2, 2, distr1, 152, 193, 64, 179, 220, 161, 144, 111, 1, 3, true
7096-6,1461005695480,40,target, 139, 87, 178, 164, 239, 111, 157, 128, 3, 3, distr1, 200, 167, 190, 179, 76, 249, 145, 205, 2, 1, distr2, 234, 55, 138, 169, 225, 180, 109, 164, 1, 2, true
7096-6,1461005712927,41,target, 66, 97, 240, 230, 67, 213, 179, 72, 1, 2, distr2, 88, 140, 138, 215, 54, 166, 136, 142, 2, 3, distr1, 121, 216, 71, 76, 130, 190, 158, 98, 3, 1, true
7096-6,1461005758577,42,target, 181, 66, 113, 125, 132, 76, 114, 58, 3, 1, distr1, 79, 137, 164, 104, 70, 171, 64, 108, 1, 3, distr2, 175, 75, 237, 124, 229, 205, 125, 197, 2, 2, true
7096-6,1461005778709,43,target, 92, 81, 117, 204, 158, 126, 202, 54, 1, 2, distr1, 206, 140, 54, 82, 216, 139, 95, 126, 3, 3, distr2, 92, 217, 220, 160, 174, 157, 247, 98, 2, 1, true
7096-6,1461005805029,44,distr2, 62, 140, 175, 160, 148, 77, 132, 84, 3, 2, target, 184, 134, 148, 224, 116, 157, 239, 111, 2, 3, distr1, 134, 227, 136, 179, 155, 146, 67, 218, 1, 1, false
7096-6,1461005830417,45,target, 161, 184, 176, 226, 177, 74, 109, 88, 1, 3, distr1, 189, 241, 181, 119, 156, 176, 81, 154, 3, 1, distr2, 249, 91, 116, 96, 183, 77, 180, 185, 2, 2, true
7096-6,1461005847553,46,target, 180, 158, 227, 99, 142, 134, 86, 102, 2, 2, distr1, 212, 120, 154, 172, 136, 125, 64, 177, 3, 1, distr2, 201, 157, 90, 241, 196, 123, 178, 85, 1, 3, true
7096-6,1461005863362,47,target, 234, 245, 244, 126, 110, 240, 65, 243, 3, 1, distr1, 147, 102, 157, 212, 242, 169, 232, 235, 2, 3, distr2, 126, 218, 225, 152, 210, 50, 245, 107, 1, 2, true
7096-6,1461005877428,48,target, 137, 146, 52, 186, 197, 185, 66, 55, 3, 2, distr2, 85, 178, 140, 242, 231, 122, 228, 154, 2, 3, distr1, 243, 200, 221, 87, 146, 205, 64, 209, 1, 1, true
7096-6,1461005892896,49,target, 220, 172, 145, 197, 216, 83, 178, 79, 3, 3, distr2, 122, 101, 78, 94, 147, 144, 67, 97, 2, 1, distr1, 136, 83, 93, 160, 163, 206, 215, 234, 1, 2, true
7096-6,1461005910972,50,target, 184, 75, 72, 79, 242, 233, 239, 60, 3, 2, distr1, 168, 183, 203, 210, 241, 201, 62, 227, 2, 3, distr2, 185, 67, 57, 146, 223, 191, 102, 64, 1, 1, true
