iterationName	gameid	time	trialNum	object1Name	object1SketcherLoc	object1ViewerLoc	object2Name	object2SketcherLoc	object2ViewerLoc	object3Name	object3SketcherLoc	object3ViewerLoc	intendedName	clickedName	correct	condition	eventType
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427102596	1	close_9_a_ee445cf3710af7e21548	3	2	close_9_b_ee445cf3710af7e21548	2	1	close_9_c_ee445cf3710af7e21548	1	3	close_9_a_ee445cf3710af7e21548	close_9_a_ee445cf3710af7e21548	true	close	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427114720	2	close_128_a_faca91ff3f9e2b93a87dbaf2	3	1	close_128_b_faca91ff3f9e2b93a87dbaf2	1	3	close_128_c_faca91ff3f9e2b93a87dbaf2	2	2	close_128_a_faca91ff3f9e2b93a87dbaf2	close_128_a_faca91ff3f9e2b93a87dbaf2	true	close	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427137920	3	split_70_a_99e4c4b39b75a06b30e06a01	2	3	split_70_b_99e4c4b39b75a06b30e06a01	1	2	split_70_c_99e4c4b39b75a06b30e06a01	3	1	split_70_a_99e4c4b39b75a06b30e06a01	split_70_a_99e4c4b39b75a06b30e06a01	true	split	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427181320	4	close_51_a_81628a0b5f7f9ad7ba94feec	2	3	close_51_b_81628a0b5f7f9ad7ba94feec	1	2	close_51_c_81628a0b5f7f9ad7ba94feec	3	1	close_51_a_81628a0b5f7f9ad7ba94feec	close_51_a_81628a0b5f7f9ad7ba94feec	true	close	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427203959	5	far_68_a_98f923c006fdd918e6d	1	3	far_68_b_98f923c006fdd918e6d	2	1	far_68_c_98f923c006fdd918e6d	3	2	far_68_a_98f923c006fdd918e6d	far_68_a_98f923c006fdd918e6d	true	far	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427235944	6	far_22_a_8b005a01cf4ae50d	3	2	far_22_b_8b005a01cf4ae50d	2	3	far_22_c_8b005a01cf4ae50d	1	1	far_22_a_8b005a01cf4ae50d	far_22_a_8b005a01cf4ae50d	true	far	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427268138	7	close_39_a_20b36bbb42d36e0771d	3	3	close_39_b_20b36bbb42d36e0771d	1	2	close_39_c_20b36bbb42d36e0771d	2	1	close_39_a_20b36bbb42d36e0771d	close_39_a_20b36bbb42d36e0771d	true	close	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427284430	8	split_13_a_fb9f11f128e006d2	2	1	split_13_b_fb9f11f128e006d2	3	2	split_13_c_fb9f11f128e006d2	1	3	split_13_a_fb9f11f128e006d2	split_13_a_fb9f11f128e006d2	true	split	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427318070	9	split_130_a_8a21b853c8de77f0c8687ff9b0b4	1	2	split_130_b_8a21b853c8de77f0c8687ff9b0b4	2	3	split_130_c_8a21b853c8de77f0c8687ff9b0b4	3	1	split_130_a_8a21b853c8de77f0c8687ff9b0b4	split_130_a_8a21b853c8de77f0c8687ff9b0b4	true	split	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427328343	10	far_38_a_a66d78cbf3603e8bba9d	2	2	far_38_b_a66d78cbf3603e8bba9d	3	3	far_38_c_a66d78cbf3603e8bba9d	1	1	far_38_a_a66d78cbf3603e8bba9d	far_38_a_a66d78cbf3603e8bba9d	true	far	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427347303	11	far_48_a_8d4efa9893f7e49b3a85b56e	2	2	far_48_b_8d4efa9893f7e49b3a85b56e	1	1	far_48_c_8d4efa9893f7e49b3a85b56e	3	3	far_48_a_8d4efa9893f7e49b3a85b56e	far_48_a_8d4efa9893f7e49b3a85b56e	true	far	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427369878	12	far_64_a_2a1184b04dd8f30e3e9	3	1	far_64_b_2a1184b04dd8f30e3e9	2	2	far_64_c_2a1184b04dd8f30e3e9	1	3	far_64_a_2a1184b04dd8f30e3e9	far_64_a_2a1184b04dd8f30e3e9	true	far	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427393541	13	far_116_a_5e89f5cc834553622acd	1	1	far_116_b_5e89f5cc834553622acd	2	3	far_116_c_5e89f5cc834553622acd	3	2	far_116_a_5e89f5cc834553622acd	far_116_a_5e89f5cc834553622acd	true	far	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427424529	14	split_113_a_3e1e1070ed7a0ba67484	2	1	split_113_b_3e1e1070ed7a0ba67484	3	3	split_113_c_3e1e1070ed7a0ba67484	1	2	split_113_a_3e1e1070ed7a0ba67484	split_113_a_3e1e1070ed7a0ba67484	true	split	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427435765	15	split_28_a_c79532846cee59c35a4549f761d7	1	3	split_28_b_c79532846cee59c35a4549f761d7	3	2	split_28_c_c79532846cee59c35a4549f761d7	2	1	split_28_a_c79532846cee59c35a4549f761d7	split_28_a_c79532846cee59c35a4549f761d7	true	split	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427453557	16	split_59_a_e4931ffa06d7b05c	3	1	split_59_b_e4931ffa06d7b05c	2	2	split_59_c_e4931ffa06d7b05c	1	3	split_59_a_e4931ffa06d7b05c	split_59_a_e4931ffa06d7b05c	true	split	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427469002	17	far_7_a_64c80a33	2	2	far_7_b_64c80a33	3	1	far_7_c_64c80a33	1	3	far_7_a_64c80a33	far_7_a_64c80a33	true	far	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427494534	18	far_23_a_3c81fab5678a3872327289c0	2	3	far_23_b_3c81fab5678a3872327289c0	3	2	far_23_c_3c81fab5678a3872327289c0	1	1	far_23_a_3c81fab5678a3872327289c0	far_23_b_3c81fab5678a3872327289c0	false	far	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427511140	19	split_134_a_11dba3a8d7b7210f5ff6	2	2	split_134_b_11dba3a8d7b7210f5ff6	1	1	split_134_c_11dba3a8d7b7210f5ff6	3	3	split_134_a_11dba3a8d7b7210f5ff6	split_134_a_11dba3a8d7b7210f5ff6	true	split	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427523540	20	far_35_a_3853339519aca1bdfcd49104	1	1	far_35_b_3853339519aca1bdfcd49104	2	2	far_35_c_3853339519aca1bdfcd49104	3	3	far_35_a_3853339519aca1bdfcd49104	far_35_a_3853339519aca1bdfcd49104	true	far	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427541542	21	far_133_a_a5a2d09e53842378	1	3	far_133_b_a5a2d09e53842378	3	2	far_133_c_a5a2d09e53842378	2	1	far_133_a_a5a2d09e53842378	far_133_c_a5a2d09e53842378	false	far	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427581060	22	far_14_a_4fdcd44fd622400a97fe55e7	2	1	far_14_b_4fdcd44fd622400a97fe55e7	1	2	far_14_c_4fdcd44fd622400a97fe55e7	3	3	far_14_a_4fdcd44fd622400a97fe55e7	far_14_a_4fdcd44fd622400a97fe55e7	true	far	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427601247	23	close_95_a_4eed9ad9465482d5	3	2	close_95_b_4eed9ad9465482d5	1	3	close_95_c_4eed9ad9465482d5	2	1	close_95_a_4eed9ad9465482d5	close_95_a_4eed9ad9465482d5	true	close	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427616844	24	close_57_a_1055f78d441d	2	1	close_57_b_1055f78d441d	1	2	close_57_c_1055f78d441d	3	3	close_57_a_1055f78d441d	close_57_a_1055f78d441d	true	close	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427626230	25	far_118_a_b3e4c494a862986b9226550f5173ae53	2	1	far_118_b_b3e4c494a862986b9226550f5173ae53	1	2	far_118_c_b3e4c494a862986b9226550f5173ae53	3	3	far_118_a_b3e4c494a862986b9226550f5173ae53	far_118_a_b3e4c494a862986b9226550f5173ae53	true	far	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427651578	26	far_29_a_b8fe0dd70bae3a9dba7	3	3	far_29_b_b8fe0dd70bae3a9dba7	2	2	far_29_c_b8fe0dd70bae3a9dba7	1	1	far_29_a_b8fe0dd70bae3a9dba7	far_29_a_b8fe0dd70bae3a9dba7	true	far	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427686970	27	close_117_a_665bfb42a0362f71d577f4b8	3	1	close_117_b_665bfb42a0362f71d577f4b8	1	3	close_117_c_665bfb42a0362f71d577f4b8	2	2	close_117_a_665bfb42a0362f71d577f4b8	close_117_a_665bfb42a0362f71d577f4b8	true	close	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427707635	28	split_27_a_7b5b032a2cddeebc54d7082b3482	1	1	split_27_b_7b5b032a2cddeebc54d7082b3482	3	3	split_27_c_7b5b032a2cddeebc54d7082b3482	2	2	split_27_a_7b5b032a2cddeebc54d7082b3482	split_27_a_7b5b032a2cddeebc54d7082b3482	true	split	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427727627	29	far_106_a_2fc2b897b6b131c4dc75	3	1	far_106_b_2fc2b897b6b131c4dc75	2	3	far_106_c_2fc2b897b6b131c4dc75	1	2	far_106_a_2fc2b897b6b131c4dc75	far_106_a_2fc2b897b6b131c4dc75	true	far	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427744842	30	split_50_a_f550b5413eb040c29829306a513f	1	2	split_50_b_f550b5413eb040c29829306a513f	2	1	split_50_c_f550b5413eb040c29829306a513f	3	3	split_50_a_f550b5413eb040c29829306a513f	split_50_a_f550b5413eb040c29829306a513f	true	split	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427760098	31	close_114_a_6f70a7948c59b49943da6ec23ceb	2	1	close_114_b_6f70a7948c59b49943da6ec23ceb	1	2	close_114_c_6f70a7948c59b49943da6ec23ceb	3	3	close_114_a_6f70a7948c59b49943da6ec23ceb	close_114_a_6f70a7948c59b49943da6ec23ceb	true	close	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427775154	32	close_24_a_d9a1f2e7290cd2c3baab0c715904	1	1	close_24_b_d9a1f2e7290cd2c3baab0c715904	2	2	close_24_c_d9a1f2e7290cd2c3baab0c715904	3	3	close_24_a_d9a1f2e7290cd2c3baab0c715904	close_24_a_d9a1f2e7290cd2c3baab0c715904	true	close	clickedObj
pilot1	3730-65af2305-9c59-44b6-80ac-1905f33cf59b	1500427789753	33	split_69_a_fe6b3c001a86	1	1	split_69_b_fe6b3c001a86	3	2	split_69_c_fe6b3c001a86	2	3	split_69_a_fe6b3c001a86	split_69_a_fe6b3c001a86	true	split	clickedObj
