iterationName	gameid	time	trialNum	object1Name	object1SketcherLoc	object1ViewerLoc	object2Name	object2SketcherLoc	object2ViewerLoc	object3Name	object3SketcherLoc	object3ViewerLoc	intendedName	clickedName	correct	condition	eventType
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329307051	1	far_13_a_fb9f11f128e006d2498725b9a1405ebb	3	2	far_13_b_fb9f11f128e006d2498725b9a1405ebb	1	3	far_13_c_fb9f11f128e006d2498725b9a1405ebb	2	1	far_13_a_fb9f11f128e006d2498725b9a1405ebb	far_13_a_fb9f11f128e006d2498725b9a1405ebb	true	far	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329325218	2	far_31_a_87e11555e7233fb4a9b	3	3	far_31_b_87e11555e7233fb4a9b	1	2	far_31_c_87e11555e7233fb4a9b	2	1	far_31_a_87e11555e7233fb4a9b	far_31_a_87e11555e7233fb4a9b	true	far	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329344860	3	close_98_a_c04c5b7d68b4e6481a6	3	1	close_98_b_c04c5b7d68b4e6481a6	1	2	close_98_c_c04c5b7d68b4e6481a6	2	3	close_98_a_c04c5b7d68b4e6481a6	close_98_a_c04c5b7d68b4e6481a6	true	close	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329360915	4	far_50_a_f550b5413eb040c29829306a	1	3	far_50_b_f550b5413eb040c29829306a	2	1	far_50_c_f550b5413eb040c29829306a	3	2	far_50_a_f550b5413eb040c29829306a	far_50_a_f550b5413eb040c29829306a	true	far	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329384517	5	far_51_a_81628a0b5f7f9ad7ba94feec	3	2	far_51_b_81628a0b5f7f9ad7ba94feec	2	1	far_51_c_81628a0b5f7f9ad7ba94feec	1	3	far_51_a_81628a0b5f7f9ad7ba94feec	far_51_a_81628a0b5f7f9ad7ba94feec	true	far	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329411979	6	far_58_a_6cf3b41688dfc4b4707cdefe012d0353	1	2	far_58_b_6cf3b41688dfc4b4707cdefe012d0353	3	1	far_58_c_6cf3b41688dfc4b4707cdefe012d0353	2	3	far_58_a_6cf3b41688dfc4b4707cdefe012d0353	far_58_a_6cf3b41688dfc4b4707cdefe012d0353	true	far	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329461400	7	close_106_a_2fc2b897b6b131c4dc75a59e280f3bf8	3	2	close_106_b_2fc2b897b6b131c4dc75a59e280f3bf8	1	1	close_106_c_2fc2b897b6b131c4dc75a59e280f3bf8	2	3	close_106_a_2fc2b897b6b131c4dc75a59e280f3bf8	close_106_a_2fc2b897b6b131c4dc75a59e280f3bf8	true	close	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329481179	8	far_123_a_e3d23dc47ddd9620c9be65df	3	3	far_123_b_e3d23dc47ddd9620c9be65df	2	2	far_123_c_e3d23dc47ddd9620c9be65df	1	1	far_123_a_e3d23dc47ddd9620c9be65df	far_123_a_e3d23dc47ddd9620c9be65df	true	far	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329502441	9	split_118_a_b3e4c494a862986b9226550f	2	2	split_118_b_b3e4c494a862986b9226550f	1	3	split_118_c_b3e4c494a862986b9226550f	3	1	split_118_a_b3e4c494a862986b9226550f	split_118_a_b3e4c494a862986b9226550f	true	split	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329563799	10	split_133_a_a5a2d09e5384237869513d0907f19c8f	3	1	split_133_b_a5a2d09e5384237869513d0907f19c8f	2	3	split_133_c_a5a2d09e5384237869513d0907f19c8f	1	2	split_133_a_a5a2d09e5384237869513d0907f19c8f	split_133_a_a5a2d09e5384237869513d0907f19c8f	true	split	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329592362	11	split_91_a_f90dab51bec2bcd1a3340564b56a7f70	3	2	split_91_b_f90dab51bec2bcd1a3340564b56a7f70	1	1	split_91_c_f90dab51bec2bcd1a3340564b56a7f70	2	3	split_91_a_f90dab51bec2bcd1a3340564b56a7f70	split_91_a_f90dab51bec2bcd1a3340564b56a7f70	true	split	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329612534	12	split_28_a_c79532846cee59c35a4549f761d7	2	3	split_28_b_c79532846cee59c35a4549f761d7	1	1	split_28_c_c79532846cee59c35a4549f761d7	3	2	split_28_a_c79532846cee59c35a4549f761d7	split_28_a_c79532846cee59c35a4549f761d7	true	split	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329645305	13	close_89_a_537924063294eb5f46ed025f8f85	3	2	close_89_b_537924063294eb5f46ed025f8f85	2	3	close_89_c_537924063294eb5f46ed025f8f85	1	1	close_89_a_537924063294eb5f46ed025f8f85	close_89_a_537924063294eb5f46ed025f8f85	true	close	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329695548	14	close_4_a_38b5f764afc9d28f200ad3f421b6	2	3	close_4_b_38b5f764afc9d28f200ad3f421b6	1	1	close_4_c_38b5f764afc9d28f200ad3f421b6	3	2	close_4_a_38b5f764afc9d28f200ad3f421b6	close_4_a_38b5f764afc9d28f200ad3f421b6	true	close	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329728118	15	far_120_a_41852b57b492559eb36178084a593098	2	1	far_120_b_41852b57b492559eb36178084a593098	3	3	far_120_c_41852b57b492559eb36178084a593098	1	2	far_120_a_41852b57b492559eb36178084a593098	far_120_a_41852b57b492559eb36178084a593098	true	far	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329759662	16	far_84_a_5402eecc67e489502fa7	1	3	far_84_b_5402eecc67e489502fa7	2	1	far_84_c_5402eecc67e489502fa7	3	2	far_84_a_5402eecc67e489502fa7	far_84_a_5402eecc67e489502fa7	true	far	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329775491	17	far_114_a_6f70a7948c59b49943da6ec23cebe068	3	2	far_114_b_6f70a7948c59b49943da6ec23cebe068	1	3	far_114_c_6f70a7948c59b49943da6ec23cebe068	2	1	far_114_a_6f70a7948c59b49943da6ec23cebe068	far_114_b_6f70a7948c59b49943da6ec23cebe068	false	far	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329807677	18	far_30_a_313bfbd7bc2d516e14d782de5388	1	2	far_30_b_313bfbd7bc2d516e14d782de5388	3	1	far_30_c_313bfbd7bc2d516e14d782de5388	2	3	far_30_a_313bfbd7bc2d516e14d782de5388	far_30_a_313bfbd7bc2d516e14d782de5388	true	far	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329821470	19	close_111_a_892d8090f05c136dd93768e7	2	3	close_111_b_892d8090f05c136dd93768e7	3	2	close_111_c_892d8090f05c136dd93768e7	1	1	close_111_a_892d8090f05c136dd93768e7	close_111_a_892d8090f05c136dd93768e7	true	close	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329849574	20	close_70_a_99e4c4b39b75a06b30e06a011e63	3	3	close_70_b_99e4c4b39b75a06b30e06a011e63	2	2	close_70_c_99e4c4b39b75a06b30e06a011e63	1	1	close_70_a_99e4c4b39b75a06b30e06a011e63	close_70_a_99e4c4b39b75a06b30e06a011e63	true	close	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329885562	21	close_8_a_e78f25a1f66c19a38a63c123f2a5	1	1	close_8_b_e78f25a1f66c19a38a63c123f2a5	3	3	close_8_c_e78f25a1f66c19a38a63c123f2a5	2	2	close_8_a_e78f25a1f66c19a38a63c123f2a5	close_8_a_e78f25a1f66c19a38a63c123f2a5	true	close	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329922316	22	split_135_a_61950eabab269b5c530a9fedbeceb83	3	1	split_135_b_61950eabab269b5c530a9fedbeceb83	2	3	split_135_c_61950eabab269b5c530a9fedbeceb83	1	2	split_135_a_61950eabab269b5c530a9fedbeceb83	split_135_a_61950eabab269b5c530a9fedbeceb83	true	split	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329945513	23	split_101_a_9c7c3478edebfc10	1	1	split_101_b_9c7c3478edebfc10	3	3	split_101_c_9c7c3478edebfc10	2	2	split_101_a_9c7c3478edebfc10	split_101_a_9c7c3478edebfc10	true	split	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329979286	24	close_71_a_22cc9b68e67339738d2d730aebe7	3	2	close_71_b_22cc9b68e67339738d2d730aebe7	1	3	close_71_c_22cc9b68e67339738d2d730aebe7	2	1	close_71_a_22cc9b68e67339738d2d730aebe7	close_71_a_22cc9b68e67339738d2d730aebe7	true	close	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502330012102	25	close_29_a_b8fe0dd70bae3a9dba7a8c9ac8a	2	1	close_29_b_b8fe0dd70bae3a9dba7a8c9ac8a	3	2	close_29_c_b8fe0dd70bae3a9dba7a8c9ac8a	1	3	close_29_a_b8fe0dd70bae3a9dba7a8c9ac8a	close_29_a_b8fe0dd70bae3a9dba7a8c9ac8a	true	close	clickedObj
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502330059424	26	split_2_a_46c7367eede2d9c5ca2ed12df13a	1	3	split_2_b_46c7367eede2d9c5ca2ed12df13a	2	1	split_2_c_46c7367eede2d9c5ca2ed12df13a	3	2	split_2_a_46c7367eede2d9c5ca2ed12df13a	split_2_b_46c7367eede2d9c5ca2ed12df13a	false	split	clickedObj
