gameid	time	trialNum	strokeNum	targetName	svg
6414-02aa0953-915c-4335-b0d5-324dc4347a6b	1493069608941	1	1	inlay	M68,29.85938c0,9.26267 -2.99587,112.00413 -1,114c1.11231,1.11231 4.25651,-0.62825 5,-1c1.36672,-0.68336 95.86956,-3.56522 103,0c2.10113,1.05056 -0.01943,1.98057 1,3c0.33333,0.33333 1,0.5286 1,1c0,30.26989 5,60.58626 5,89
6414-02aa0953-915c-4335-b0d5-324dc4347a6b	1493069610473	1	2	inlay	M69,137.85938c0,1.33333 0,2.66667 0,4c0,0.66667 0,1.33333 0,2c0,24.66667 0,49.33333 0,74c0,1.74825 0.78914,7 -1,7
6414-02aa0953-915c-4335-b0d5-324dc4347a6b	1493069612500	1	3	inlay	M68,140.85938c-3.96211,0 -1.20078,6.60235 -2,9c-5.67157,17.01472 -3,49.48461 -3,68
6414-02aa0953-915c-4335-b0d5-324dc4347a6b	1493069615645	1	4	inlay	M166,140.85938c-1.17169,-1.17169 -2,5.71516 -2,8c0,6.97286 -2,12.60821 -2,20c0,17.97709 -3.73642,41.39537 6,56c0.41345,0.62017 1,1.25464 1,2c0,0.33333 0,0.66667 0,1
6414-02aa0953-915c-4335-b0d5-324dc4347a6b	1493069620085	1	5	inlay	M66,32.85938c11.91648,-11.91648 7.75261,36 2,36
6414-02aa0953-915c-4335-b0d5-324dc4347a6b	1493069649263	2	1	chihuahua	M71,111.85938c0,6.61804 21,8.62801 21,15c0,0.26281 -7.06224,3.12448 -8,5c-1.86195,3.7239 -4.26801,17.46398 -2,22c9.41647,18.83294 36.85372,8.14628 46,-1c1.33254,-1.33254 0,-11.86316 0,-14c0,-5.42284 -0.71089,-8.71089 -4,-12c-4.67512,-4.67512 -53.92379,4.30793 -35,-2
6414-02aa0953-915c-4335-b0d5-324dc4347a6b	1493069650714	2	2	chihuahua	M129,129.85938c0,-7.52894 27.79024,-7.79024 32,-12
6414-02aa0953-915c-4335-b0d5-324dc4347a6b	1493069652530	2	3	chihuahua	M131,154.85938c0,-5.93427 21.36458,-4.16106 25,-5c20.50848,-4.73273 42.62984,-1.90746 59,-6c8.78981,-2.19745 17.92895,-6 27,-6
6414-02aa0953-915c-4335-b0d5-324dc4347a6b	1493069655087	2	4	chihuahua	M207,148.85938c0.31486,0.31486 12,60.46363 12,65c0,0.98943 0,11 0,11c0,0 -1.43235,-3.29706 -2,-5
6414-02aa0953-915c-4335-b0d5-324dc4347a6b	1493069657158	2	5	chihuahua	M216,187.85938c0,3.12477 -1.50299,1.33533 -4,3c-3.9301,2.62007 -78.84295,6.15705 -81,4c-8.34393,-8.34393 7,-34.37485 7,-40
6414-02aa0953-915c-4335-b0d5-324dc4347a6b	1493069658160	2	6	chihuahua	M130,192.85938c0.94281,0.94281 0.32338,2.70648 0,4c-3.82029,15.28115 -11.88634,32.54536 -16,49c-0.08085,0.32338 0.14907,0.70186 0,1c-0.06233,0.12465 -1,3 -1,3c0,0 1.1731,-2.75965 2,-4
6414-02aa0953-915c-4335-b0d5-324dc4347a6b	1493069658821	2	7	chihuahua	M146,199.85938c0,11.90542 -11,24.76572 -11,36
6414-02aa0953-915c-4335-b0d5-324dc4347a6b	1493069660102	2	8	chihuahua	M205,194.85938c0,5.38311 -2.34643,29.34643 -6,33
