iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	eventType
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506389975565	1	tomtit	M172,94c39.12332,0 19.58981,-38.1966 -8,-29c-19.62613,6.54204 3.61199,39 16,39c1.60613,0 5,0.92756 5,-1	1	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506389977289	1	tomtit	M182,68c11.34576,0 54.78163,-3.5583 33,12c-6.49241,4.63744 -13.43019,7 -21,7	2	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506389978337	1	tomtit	M175,75c3.2931,0 9.17196,6.65608 12,1c4.24094,-8.48187 -3,-10.11623 -3,-4	3	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506389982653	1	tomtit	M153,72c1.38104,0 1.65332,4.69336 1,6c-7.25745,14.5149 -20.52553,30.81382 -27,47c-10.38034,25.95085 1.50098,82.83105 -5,98c-0.47343,1.10467 -1.23059,2.07671 -2,3c-13.72818,16.47382 -13.77333,34.95555 -24,52c-0.62575,1.04291 -3,6 -3,6c0,0 2.8906,0.7396 4,0c9.13154,-6.08769 18.9439,-16.9439 27,-25c19.05084,-19.05084 41.37159,-40.28598 55,-63c5.51517,-9.19194 21.21492,-14.32238 29,-26c23.54559,-35.31838 -27,-40.23266 -27,-64	4	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506389983891	1	tomtit	M197,125c3.43388,0 8.20829,7.98432 10,10c4.26757,4.80102 10.88255,9.64766 13,16c0.42164,1.26491 0,2.66667 0,4c0,2.7239 -26.27593,48.12655 -31,56c-0.72761,1.21268 -1.65836,2.55279 -3,3c-2.70629,0.9021 -21,-1.56424 -21,-3	5	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506389985007	1	tomtit	M188,206c0,7.69503 4.52711,27.47289 -2,34c-3.10622,3.10622 -11,13.33493 -11,8	6	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506389985546	1	tomtit	M191,231c7.20025,0 9.91982,13 15,13	7	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506389986381	1	tomtit	M187,234c9.28203,0 7,24.83798 7,14	8	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506389987798	1	tomtit	M205,193c-2.57614,0 -0.23385,7.29845 0,8c1.23007,3.69022 8.83615,11.3277 7,15c-1.59816,3.19631 -6.15433,5.30865 -8,9	9	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506389988403	1	tomtit	M207,215c5.0958,0 9.70683,5.70683 13,9	10	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506389989018	1	tomtit	M210,210c0,-1.8403 9.99401,-1 12,-1	11	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506389997208	1	tomtit	M203,166c-4.65878,-4.65878 -12.39216,-8.4951 -18,-12c-1.70822,-1.06764 -29,-16.98172 -29,-13	12	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506389998604	1	tomtit	M149,178c0,-1.66667 -0.2357,3.35008 0,5c0.71867,5.03069 1.9841,9.92051 3,15c3.79259,18.96294 -4,22.80224 -4,32	13	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506389999410	1	tomtit	M151,183c8.71671,0 15.753,-13.8765 24,-18	14	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390001610	1	tomtit	M147,199c4.92141,0 8,12.82854 8,17	15	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390002145	1	tomtit	M134,187c0,6.88972 -1.10595,13.7881 2,20	16	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390002628	1	tomtit	M136,213c4.77589,0 3,13.76641 3,17	17	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390003207	1	tomtit	M120,231c0,1.05409 -0.5286,2.05719 -1,3	18	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390006067	1	tomtit	M192,81c-3.18752,0 -14.93927,6.06073 -18,3c-9.3968,-9.3968 -18.71405,-25 4,-25	19	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390010736	1	tomtit	M178,241c0,3.14466 2.18733,-9.40633 5,-8c2.30635,1.15317 16.04694,16.04694 9,9	20	0	0	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390022575	2	straight	M100,158c0,-5 0,10 0,15c0,16.87696 -2,33.33916 -2,50c0,0.4714 -0.5286,1 -1,1	1	0	1	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390023629	2	straight	M145,167c5.2639,0 7,42.38913 7,48c0,1.28829 1.00444,6 -1,6	2	0	1	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390024628	2	straight	M100,159c14.07642,0 33.23199,12.41066 47,17c5,1.66667 15,-0.27046 15,5	3	0	1	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390025469	2	straight	M101,155c0,-0.88845 0.96793,-1.65598 2,-2c13.29351,-4.43117 26.17588,-33 40,-33	4	0	1	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390026800	2	straight	M150,172c-3.54338,0 4.94045,-5.11663 7,-8c4.80288,-6.72403 8.99338,-20.99669 17,-25c0.94281,-0.4714 3.74536,-0.25464 3,-1c-6.16489,-6.16489 -21.63689,-12.59836 -30,-17c-1.56244,-0.82234 -12,-7.98961 -12,-7	5	0	1	stroke
