iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	eventType
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473158980	1	knob	M204,66c-32.56258,0 -7.92554,-36.96277 26,-20c3.84977,1.92488 9.43344,0.86688 12,6c2.05187,4.10373 2.67501,20.97497 1,26c-0.99443,2.98329 -7.22361,5.77639 -5,8c3.59487,3.59487 14.49962,-4.50038 18,-1c0.57213,0.57213 0,4.23843 0,5c0,8.37783 5.88357,56.11643 1,61c-5.83771,5.83771 -13.12279,18.36836 -16,27c-5.01294,15.03883 3,35.26912 3,48c0,0.41882 1.57849,4.71075 1,5c-1.9773,0.98865 -10.76604,2.11698 -13,1c-1.52023,-0.76012 -0.46252,-3.38755 -1,-5c-4.9224,-14.76719 -6,-38.49818 -6,-54c0,-1.58621 0.37087,-7 -1,-7c-5.72049,0 -19.71048,13.23683 -25,15c-5.13184,1.71061 -27.72978,-0.27022 -31,3c-5.67479,5.67479 19.20993,51.59669 -15,63c-0.79567,0.26522 -9.50277,1.99445 -10,1c-0.33333,-0.66667 0.81922,-1.2769 1,-2c3.17828,-12.71314 3.2591,-35.51819 9,-47c6.09818,-12.19637 -12.15308,-13.30617 -16,-21c-1.39178,-2.78357 -13.42977,-15 -15,-15c-1.4714,0 -1,2.60948 -1,3c0,7.82989 2.28128,25.57808 -2,32c-7.63676,11.45513 -10.48449,18.24225 -24,25c-0.80593,0.40297 -3,2 -3,2c0,0 1.89233,-8.71289 2,-9c6.51287,-17.36766 31.9162,-52.1676 22,-72c-10.36688,-20.73375 -22.21662,31.56677 -38,0c-0.92499,-1.84998 -4.16103,-5.67795 -3,-8c2.81768,-5.63537 8.32796,-9.98388 10,-15c0.7748,-2.32439 3.5508,-0.2754 5,-1c8.89225,-4.44612 21.21522,1.69619 32,-1c9.34136,-2.33534 17.23508,-7 27,-7c5.69817,0 52.65328,-12.47992 53,-13c7.63854,-11.45781 -1,-23.46447 -1,-33	1	0	0	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473171777	1	knob	M210,98c9.45411,0 30,-2.26519 30,10	2	0	0	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473240441	2	bullmastiff	M123,96c0,21.08296 -15.44297,23.62865 -31,34c-5.50645,3.67096 -10.38284,9.12761 -16,11c-4.7446,1.58153 -15.7137,3.7137 -19,7c-2.43481,2.43481 5.94161,11.52919 3,13c-3.87678,1.93839 -14.94173,-5.82518 -13,0c2.08778,6.26334 19.30163,2.39675 14,13c-6.18696,12.37392 -10.78126,25.34379 -15,38c-0.09763,0.29289 -1.80474,1.19526 -1,2c0.26911,0.26911 10.72922,2 11,2c2.35702,0 0.35248,-4.73367 1,-7c3.67588,-12.86557 2.51361,-26.77042 10,-38c1.25426,-1.8814 9.2602,-5.7398 12,-3c0.94281,0.94281 0.32338,2.70648 0,4c-1.52485,6.0994 -16.82105,38.05965 -8,41c17.26817,5.75606 7.50268,-31.50268 16,-40c1.94321,-1.94321 15.02256,-0.00752 18,-1c2.54545,-0.84848 12.65283,-11.34717 13,-11c2.77914,2.77914 -8,32.50611 -8,37c0,1.66667 3.33333,0 5,0c1.73795,0 1.40159,-5.39363 1,-7c-1.64253,-6.57012 -2.47255,-26.52745 2,-31c0.80955,-0.80955 6.72812,0 8,0c7.59566,0 -1,21.98427 -1,27c0,4.35969 4,7 4,7c0,0 1.81668,-5.5417 2,-6c6.76967,-16.92417 -2.0552,-30.83439 3,-46c1.30591,-3.91773 4.10571,-6.21143 6,-10c1.50545,-3.01089 -3.00076,-7.99924 -2,-9c3.55036,-3.55036 6.9231,-5.8462 10,-12c0.46097,-0.92194 1.68487,-1.63026 1,-3c-0.21082,-0.42164 -0.57836,-0.78918 -1,-1c-4.53324,-2.26662 -11.20026,-21.19983 -22,-14c-1.44025,0.96017 -5,2.58743 -5,4	1	0	1	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473245314	2	bullmastiff	M123,95c-1.66667,0 -3.33333,0 -5,0	2	0	1	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473249810	2	bullmastiff	M148,104c0,-1.72523 2.5045,-1 4,-1	3	0	1	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473286566	3	waiting	M95,159c0,15.66903 -22,48.47008 -22,67	1	0	2	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473288738	3	waiting	M89,157c0,20.19593 -24,37.89904 -24,59	2	0	2	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473296401	3	waiting	M94,161c15.63252,0 32.41482,7 50,7c1.60036,0 28.41315,-5.17371 30,-2c1.97804,3.95608 7,49.44812 7,55	3	0	2	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473298750	3	waiting	M167,167c0,3.26199 3.97763,20.97763 6,23c1.05893,1.05893 -1,23.03465 -1,26c0,2.06241 -0.40831,2.59169 1,4	4	0	2	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473310140	3	waiting	M174,164c-17.0548,-17.0548 -13.89792,-26.44896 -39,-39c-7.37231,-3.68615 -35.37086,-3 -45,-3c-0.33333,0 -0.7643,0.2357 -1,0c-0.56252,-0.56252 7.87723,-29.06138 2,-32c-1.99802,-0.99901 -12.06816,-4.46592 -13,-4c-0.2495,0.12475 0,3.59272 0,4c0,15.38462 0.70528,59.70528 8,67c0.97183,0.97183 0.38536,2.77073 1,4	5	0	2	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473313875	3	waiting	M164,161c-13.74513,-6.87256 -59.20119,-35.79881 -77,-18	6	0	2	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473350365	4	white	M37,170c10.0094,0 13.67559,-3.67559 20,-10c0.26471,-0.26471 2.58824,0 3,0c14.54583,0 26.41017,-4.27345 38,-12c5.40067,-3.60045 7.19027,-12.59514 14,-16c2.60906,-1.30453 7.54808,0.38702 10,1c10.42646,2.60661 20.13781,-4.2874 30,-1c12.07305,4.02435 64.40155,17.40155 70,23c4.3434,4.3434 20.28666,1.47611 26,1c2.32527,-0.19377 7,0 7,0c0,0 -23.98659,0 -26,0c-2.66667,0 5.33333,0 8,0c2.19421,0 14.46038,-1.53962 16,0c2.10819,2.10819 -3.05719,5.17157 -4,8c-2.11771,6.35314 -1.37985,18.18992 -5,20c-0.59628,0.29814 -1.33333,0 -2,0c-9.52884,0 -36,-28.05341 -36,-9c0,1.70918 -2.53244,7.93512 -1,11c1.19685,2.39369 14.5349,4.23255 17,3c1.00175,-0.50087 -0.99256,-5.97024 -1,-6c-2.21075,-8.84302 -4.01241,-17 -15,-17	1	0	3	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473357819	4	white	M198,177c-37.2785,0 -77.53279,0 -116,0	2	0	3	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473360645	4	white	M82,177c-12.37245,0 -3.77513,8.88756 -8,11c-6.72517,3.36259 -45.13839,-12 4,-12	3	0	3	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473364332	4	white	M61,174c-8.81735,0 -14.21415,3.07138 -23,6c-0.63246,0.21082 -1.40372,0.29814 -2,0c-11.28229,-5.64115 8.54355,-14 13,-14	4	0	3	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473378789	4	white	M161,139c-3.33679,0 -32.61642,3.80821 -35,5c-3.48014,1.74007 -11.2306,11.6153 -14,13c-3.3685,1.68425 -17.80579,-3 -22,-3	5	0	3	stroke
