iterationName	gameid	time	blueSquare1	blueSquare2	redSquare1	redSquare2	spottedCircle1	spottedCircle2	stripedCircle1	stripedCircle2	label	finalRole	eventType
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076055834	false	false	false	false	false	false	false	false	piha	listener	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076057429	false	false	true	false	false	true	false	false	piha	speaker	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076058736	false	false	true	true	false	false	false	false	loka	listener	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076060434	false	false	true	true	false	false	false	false	loka	speaker	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076061004	true	true	false	false	false	false	false	false	lego	listener	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076062204	true	true	false	false	false	false	false	false	lego	speaker	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076064828	false	false	false	false	false	false	true	true	wihi	listener	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076067745	false	false	false	false	true	true	true	true	wihi	speaker	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076069339	false	false	false	false	false	false	false	false	pahu	listener	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076069883	false	false	false	false	false	false	false	false	hogu	listener	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076072160	false	false	false	false	true	true	true	true	pahu	speaker	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076072435	false	false	false	false	false	false	false	false	nuho	listener	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076074379	false	false	false	false	false	false	false	false	mulu	listener	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076074580	false	false	false	false	true	true	false	false	hogu	speaker	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076077650	true	false	false	false	false	false	false	false	gopu	listener	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076077730	false	false	false	false	true	true	true	true	nuho	speaker	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076078767	false	false	false	false	false	false	false	false	lupe	listener	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076079583	false	false	false	false	false	false	true	true	mulu	speaker	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076082005	true	false	false	false	false	false	false	false	gopu	speaker	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076085845	false	false	false	false	true	true	false	false	lupe	speaker	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076086202	false	false	false	false	false	true	false	false	wola	listener	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076087235	false	false	false	false	false	false	false	false	memi	listener	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076088640	false	false	true	false	false	false	false	false	wola	speaker	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076091508	false	false	false	false	false	false	false	false	heli	listener	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076092853	false	false	false	false	false	false	false	false	memi	speaker	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076093500	false	false	false	false	false	false	false	false	mahe	listener	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076093636	false	false	false	false	false	false	false	false	niwa	listener	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076095421	true	false	false	false	false	false	false	false	heli	speaker	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076096895	false	false	false	false	false	false	false	false	mahe	speaker	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076098402	false	false	false	false	false	true	false	false	peme	listener	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076099045	false	false	true	false	false	false	false	false	niwa	speaker	postTestData
pilot0	6563-c15d746c-095c-417d-960b-f64c6121bf1d	1501076101020	false	false	false	false	true	true	false	false	peme	speaker	postTestData
