gameid,time,roundNum,sender,contents
8235-6,1459877227080,1,speaker,"select the bright green, not the olive"
8235-6,1459877239384,2,speaker,"green"
8235-6,1459877248368,3,speaker,"red"
8235-6,1459877256462,4,speaker,"grey"
8235-6,1459877278107,5,speaker,"brownish-cream; not grey or pinkish"
8235-6,1459877292185,6,speaker,"blue"
8235-6,1459877304567,7,speaker,"grey (you're doing great)"
8235-6,1459877315738,8,listener,"thanks. good descriptions~~~"
8235-6,1459877326552,8,speaker,"teal (not the two that are more green)"
8235-6,1459877339111,9,speaker,"brownish"
8235-6,1459877380491,10,speaker,"uhh, the grey color that is more like the blue than a really normal grey"
8235-6,1459877398476,11,speaker,"the bright green"
8235-6,1459877411308,12,speaker,"brownish"
8235-6,1459877420743,13,speaker,"reddish"
8235-6,1459877430477,14,speaker,"grey"
8235-6,1459877440439,15,speaker,"dark blue"
8235-6,1459877452528,16,speaker,"purple"
8235-6,1459877469143,17,speaker,"dark pink; not bright pink"
8235-6,1459877492779,18,speaker,"brightest green"
8235-6,1459877512927,19,speaker,"brightest green"
8235-6,1459877531108,20,speaker,"dark purple (good job on the last two, by the way)"
8235-6,1459877542680,21,listener,"thanks"
8235-6,1459877556453,21,speaker,"dark orange (not the red, and not the lighter orange)"
8235-6,1459877591036,22,speaker,"purple; not pink or teal (good on the last one)"
8235-6,1459877610659,23,speaker,"darkest green"
8235-6,1459877625200,24,speaker,"brightest pink"
8235-6,1459877644570,25,speaker,"grey; not grey-brown or red"
8235-6,1459877669889,26,speaker,"grey-green"
8235-6,1459877683233,27,speaker,"grey-purple"
8235-6,1459877698057,28,speaker,"olive (not teal or bright green)"
8235-6,1459877720805,29,speaker,"bright blue (not one with hint of purple)"
8235-6,1459877729362,30,speaker,"grey"
8235-6,1459877741023,31,speaker,"dull purple"
8235-6,1459877750335,32,speaker,"teal"
8235-6,1459877760050,33,speaker,"olive"
8235-6,1459877780800,34,speaker,"green, but not neon green"
8235-6,1459877804150,35,speaker,"grey-teal (good on the last one)"
8235-6,1459877817204,36,speaker,"orange"
8235-6,1459877822699,36,listener,"your descriptions are great"
8235-6,1459877830398,37,speaker,"grey"
8235-6,1459877839982,38,speaker,"grey-blue"
8235-6,1459877851566,39,speaker,"green"
8235-6,1459877862908,40,speaker,"darkest green"
8235-6,1459877874562,41,speaker,"pink"
8235-6,1459877883823,42,speaker,"yellow"
8235-6,1459877893340,43,speaker,"purple"
8235-6,1459877902182,44,speaker,"green"
8235-6,1459877909333,45,speaker,"red"
8235-6,1459877918230,46,speaker,"purple"
8235-6,1459877945942,47,speaker,"darker grey (not the lighter green-grey)"
8235-6,1459877963219,48,speaker,"normal grey"
8235-6,1459877975246,49,speaker,"orange"
8235-6,1459877994884,50,speaker,"green (nice job!  I think we got one wrong.  nice working with you)"
