gameid,time,roundNum,sender,contents
6914-7,1459894311904,1,speaker,"The color is grey."
6914-7,1459894352555,2,speaker,"It's an olive/pukey green"
6914-7,1459894396822,3,speaker,"Not the bright yellow or the teal, the mustardy/green "
6914-7,1459894419074,4,speaker,"Green"
6914-7,1459894446876,5,speaker,"It's bright, fluorescent pink"
6914-7,1459894463738,6,speaker,"Purple"
6914-7,1459894475051,7,speaker,"Blue"
6914-7,1459894488957,8,speaker,"Yellow"
6914-7,1459894535313,9,speaker,"Grass green, not the lighter bright green"
6914-7,1459894572507,10,speaker,"Not the lilac or the magenta, the purple"
6914-7,1459894592328,11,speaker,"Tan/yellow"
6914-7,1459894647057,12,speaker,"Oh man! Not the fluorescent green.  It's the darker of the other two~~~  Kind of like a jade"
6914-7,1459894661000,13,listener,"I got you lol"
6914-7,1459894687496,13,speaker,"This one too!  Kind of jade. Lol"
6914-7,1459894706395,14,speaker,"Bright pink"
6914-7,1459894801405,15,speaker,"Not the tan or the yellowy green.  It's the jade color "
6914-7,1459894828000,16,speaker,"Super bright blue- turquoise"
6914-7,1459894869620,17,speaker,"Not the tan or the super bright purple.  The lilac purple"
6914-7,1459894883360,18,speaker,"Purple"
6914-7,1459894894937,19,listener,"lol"
6914-7,1459894958585,19,speaker,"Yeah!  Ok.  Not the purple~~~  Not the magenta pink~~~  The one that has a little more purple in it~~~  "
6914-7,1459894994106,19,listener,"The lighter or darker pink one? One is slightly darker"
6914-7,1459895024934,19,listener,"Wait i think I follow"
6914-7,1459895030723,20,speaker,"The darker?  It looks almost fluorescent and kind of hurts my eyes"
6914-7,1459895043154,20,listener,"yeah I think we were on the same page there"
6914-7,1459895064726,20,speaker,"The teal green.  Has more blue in it than the other green~~~"
6914-7,1459895072633,20,listener,"You can keep these simple like orangish, greenish, bluish.~~~ i'll follow"
6914-7,1459895090228,20,speaker,"Nice.  Thanks"
6914-7,1459895106917,21,speaker,"Green.  Lol"
6914-7,1459895130658,21,listener,"lol okay now in this case it's literally 3 shades of green for me"
6914-7,1459895185263,21,speaker,"I know - I was kidding.  Lol~~~ Bright grass green"
6914-7,1459895215254,22,listener,"whoops messed that one up"
6914-7,1459895219193,22,speaker,"Tan/green"
6914-7,1459895245896,23,speaker,"Brown"
6914-7,1459895257375,24,listener,"that was violet lol"
6914-7,1459895300429,24,speaker,"Whoops!  This one is flourescent  lime green"
6914-7,1459895355385,25,speaker,"The fluorescent one - looks like a highlighter"
6914-7,1459895386042,26,speaker,"Mauve- not the blues"
6914-7,1459895398240,27,speaker,"Yellow"
6914-7,1459895409520,28,speaker,"Purple"
6914-7,1459895427720,29,speaker,"Grey"
6914-7,1459895471894,30,speaker,"The bright green. Not the bright yellow-green"
6914-7,1459895485142,31,speaker,"Blu"
6914-7,1459895501384,32,speaker,"Muted green"
6914-7,1459895513155,33,speaker,"Green"
6914-7,1459895522085,34,speaker,"Red"
6914-7,1459895537603,35,speaker,"Sky blue"
6914-7,1459895570494,36,speaker,"I hate green! Lol the brightest one"
6914-7,1459895590102,37,speaker,"Dark grey"
6914-7,1459895602361,38,speaker,"Pink"
6914-7,1459895667464,39,speaker,"Not the bright one, not the jade.  Kind of olive"
6914-7,1459895709133,40,speaker,"Not grey, not blue, it's green blue"
6914-7,1459895743836,41,speaker,"The darker green"
6914-7,1459895754589,42,listener,"that was blue lol"
6914-7,1459895783491,42,speaker,"Sorry.  It looked greenish~~~"
6914-7,1459895795588,42,listener,"all good. Your job is harder than mine lol"
6914-7,1459895824018,42,speaker,"Not the Rose or the highlighter pink.  More Magenta~~~"
6914-7,1459895847737,43,speaker,"Darker green - olive"
6914-7,1459895868936,44,speaker,"Mustardy brown"
6914-7,1459895898405,45,speaker,"Brown grey"
6914-7,1459895910309,46,speaker,"Pink"
6914-7,1459895923971,47,speaker,"Highlighter green"
6914-7,1459895937004,48,speaker,"Grey"
6914-7,1459895953234,49,speaker,"Highlighter green"
6914-7,1459895968677,50,speaker,"Highlighter pink"
