gameid,time,roundNum,sender,contents
2265-d,1459897314347,1,speaker,"darkest color"
2265-d,1459897327065,2,speaker,"brightest color"
2265-d,1459897351097,3,speaker,"purple"
2265-d,1459897362392,4,speaker,"purple"
2265-d,1459897374330,5,speaker,"grayish"
2265-d,1459897384848,6,speaker,"purple"
2265-d,1459897412624,7,speaker,"one of the blues"
2265-d,1459897427576,8,speaker,"purple"
2265-d,1459897442288,9,speaker,"purple"
2265-d,1459897459487,10,speaker,"blue gray"
2265-d,1459897475231,11,speaker,"light blue"
2265-d,1459897488047,12,speaker,"purple"
2265-d,1459897498584,13,speaker,"light green"
2265-d,1459897516231,14,speaker,"lighter green"
2265-d,1459897528295,15,speaker,"reddish"
2265-d,1459897540695,16,speaker,"normal blue"
2265-d,1459897554166,17,speaker,"magenta?"
2265-d,1459897565366,18,speaker,"red"
2265-d,1459897576439,19,speaker,"light brown"
2265-d,1459897585078,20,speaker,"green"
2265-d,1459897594654,21,speaker,"blue"
2265-d,1459897607176,21,listener,"I don't see blue. Try again~~~"
2265-d,1459897618267,21,speaker,"sort of blue"
2265-d,1459897627047,21,speaker,"purple i guess"
2265-d,1459897633208,21,listener,"not bright?"
2265-d,1459897640558,21,speaker,"brighter one"
2265-d,1459897655493,22,speaker,"medium brightness of blue"
2265-d,1459897664885,23,speaker,"red"
2265-d,1459897673285,24,speaker,"gray"
2265-d,1459897681661,25,speaker,"red"
2265-d,1459897694245,26,speaker,"brightest color"
2265-d,1459897712628,27,speaker,"darker green-ish blue"
2265-d,1459897723788,28,speaker,"green"
2265-d,1459897737588,29,speaker,"normal bright blue"
2265-d,1459897749428,30,speaker,"light blue"
2265-d,1459897758348,31,speaker,"purple"
2265-d,1459897766484,32,speaker,"gray"
2265-d,1459897778564,33,speaker,"blue"
2265-d,1459897797924,34,speaker,"choose a gray. let's see what happens"
2265-d,1459897819030,35,speaker,"not bright blue"
2265-d,1459897833310,36,speaker,"green, the brighter one"
2265-d,1459897843835,37,speaker,"boring blue"
2265-d,1459897854939,38,speaker,"bright blue"
2265-d,1459897867851,39,speaker,"blue gray"
2265-d,1459897885011,40,speaker,"just pick anything"
2265-d,1459897895989,40,listener,"greenish, grayish, or brownish?"
2265-d,1459897908256,40,speaker,"it's all gray to me so I can't really tell"
2265-d,1459897917172,40,listener,"ah, I was wondering.~~~~~~~~~"
2265-d,1459897927179,41,speaker,"blue, light one"
2265-d,1459897935195,42,speaker,"purple"
2265-d,1459897941741,43,speaker,"green"
2265-d,1459897948665,44,speaker,"red"
2265-d,1459897957385,45,speaker,"brightest blue"
2265-d,1459897965600,46,speaker,"light green"
2265-d,1459897974541,47,speaker,"boring blue"
2265-d,1459897989956,48,speaker,"lightest green"
2265-d,1459898000267,49,speaker,"blood red"
2265-d,1459898011874,50,speaker,"brightest blue"
