gameid,time,roundNum,sender,contents
9487-1,1476988212966,1,speaker,"mauve pink"
9487-1,1476988231161,2,speaker,"the lightest grey"
9487-1,1476988239757,3,speaker,"green"
9487-1,1476988264049,4,speaker,"closer to true green - not the seafoam greens"
9487-1,1476988273146,5,speaker,"bright blue"
9487-1,1476988287629,6,speaker,"grey with no hint of purple"
9487-1,1476988298723,7,speaker,"less bright green"
9487-1,1476988310177,8,speaker,"grey"
9487-1,1476988317831,9,speaker,"grey"
9487-1,1476988325563,10,speaker,"purple"
9487-1,1476988335333,11,speaker,"bright purple"
9487-1,1476988349264,12,speaker,"lime green (brightest green)"
9487-1,1476988359428,13,speaker,"greenish grey"
9487-1,1476988368570,14,speaker,"yellow/mustard"
9487-1,1476988381522,15,speaker,"less bright green"
9487-1,1476988388660,16,speaker,"blue"
9487-1,1476988397370,17,speaker,"grey"
9487-1,1476988429556,18,speaker,"the color between blue and purple (less bright purple?)"
9487-1,1476988438190,19,speaker,"orange"
9487-1,1476988450843,20,speaker,"mauve-ish"
9487-1,1476988464709,21,speaker,"lightest green (not bright)"
9487-1,1476988474570,22,speaker,"orange"
9487-1,1476988483325,23,speaker,"blue"
9487-1,1476988498667,24,speaker,"teal"
9487-1,1476988506463,25,speaker,"bright yellow"
9487-1,1476988513327,26,speaker,"red"
9487-1,1476988522243,27,speaker,"brownish"
9487-1,1476988528655,28,speaker,"green"
9487-1,1476988537874,29,speaker,"neon green"
9487-1,1476988546869,30,speaker,"purple"
9487-1,1476988555631,31,speaker,"purple"
9487-1,1476988575727,32,speaker,"green (not bright yellow)"
9487-1,1476988605813,33,speaker,"grey with a hint of green (not grey with purple, not green/blue)"
9487-1,1476988622485,34,speaker,"grey/green, not bright"
9487-1,1476988638722,35,speaker,"medium blue (you are really good at this!)"
9487-1,1476988647763,36,speaker,"grey"
9487-1,1476988669188,37,speaker,"green (not bright, not teal)"
9487-1,1476988677689,38,speaker,"green"
9487-1,1476988688722,39,speaker,"pink"
9487-1,1476988696214,40,speaker,"grey"
9487-1,1476988705689,41,speaker,"light purple"
9487-1,1476988720560,42,speaker,"teal"
9487-1,1476988728797,43,speaker,"bright orange"
9487-1,1476988758090,44,speaker,"lightest and brightest teal/aqua (most amount of green in it)"
9487-1,1476988769074,45,speaker,"purple"
9487-1,1476988790803,46,speaker,"pink with the most red in it (brighter)"
9487-1,1476988798025,47,speaker,"blue"
9487-1,1476988807435,48,speaker,"orange like a pumpkin"
9487-1,1476988833988,49,speaker,"purple brighter"
9487-1,1476988843484,50,speaker,"dusty rose pink"
