gameid,time,roundNum,sender,contents
0742-4,1476992336519,1,speaker,"pinkish purple"
0742-4,1476992353411,2,speaker,"most vibrant purple"
0742-4,1476992362986,3,speaker,"green"
0742-4,1476992371221,4,speaker,"yellow"
0742-4,1476992380415,5,speaker,"gray"
0742-4,1476992388950,6,speaker,"tan"
0742-4,1476992405160,7,speaker,"true gray"
0742-4,1476992418748,8,speaker,"blue/aqua"
0742-4,1476992433521,9,speaker,"grayish purple"
0742-4,1476992441930,10,speaker,"blue"
0742-4,1476992453381,11,speaker,"purple"
0742-4,1476992477261,12,speaker,"purple"
0742-4,1476992487090,13,speaker,"orang"
0742-4,1476992497740,14,speaker,"pinkish purple"
0742-4,1476992505821,15,speaker,"green"
0742-4,1476992516111,16,speaker,"gold"
0742-4,1476992532910,17,speaker,"more gray than purple"
0742-4,1476992543041,18,speaker,"pink"
0742-4,1476992553240,19,speaker,"lighter aqual"
0742-4,1476992562480,20,speaker,"purple"
0742-4,1476992586299,21,speaker,"chartreuse"
0742-4,1476992602459,22,speaker,"pale green"
0742-4,1476992613039,23,speaker,"pink"
0742-4,1476992623700,24,speaker,"lighter aqua"
0742-4,1476992637481,25,speaker,"most purple box"
0742-4,1476992653469,26,speaker,"bright pink"
0742-4,1476992678849,27,speaker,"darker of the two olive green boxes"
0742-4,1476992691268,28,speaker,"pink"
0742-4,1476992702188,29,speaker,"brightest orange"
0742-4,1476992710606,30,speaker,"purple"
0742-4,1476992718548,31,speaker,"blue"
0742-4,1476992728778,32,speaker,"grayest box"
0742-4,1476992737133,33,speaker,"gray"
0742-4,1476992750177,34,speaker,"grayish purple"
0742-4,1476992761197,35,speaker,"gray"
0742-4,1476992778229,36,speaker,"most true purple"
0742-4,1476992791919,37,speaker,"dusty pink"
0742-4,1476992806399,38,speaker,"grayer teal"
0742-4,1476992815829,39,speaker,"pink"
0742-4,1476992824990,40,speaker,"green"
0742-4,1476992832783,41,speaker,"gray"
0742-4,1476992839998,42,speaker,"tan"
0742-4,1476992848346,43,speaker,"gold"
0742-4,1476992855838,44,speaker,"purple"
0742-4,1476992871989,45,speaker,"gray"
0742-4,1476992880108,46,speaker,"tan"
0742-4,1476992892428,47,speaker,"darker purple"
0742-4,1476992903988,48,speaker,"salmon pink"
0742-4,1476992913869,49,speaker,"blue"
0742-4,1476992927490,50,speaker,"more true gray"
