gameid,time,roundNum,sender,contents
9804-0,1476990353647,1,speaker,"dark"
9804-0,1476990367001,2,speaker,"blue"
9804-0,1476990377151,3,speaker,"mustard"
9804-0,1476990390179,4,speaker,"purple"
9804-0,1476990400437,5,speaker,"pink"
9804-0,1476990410207,6,speaker,"yellow"
9804-0,1476990425483,7,speaker,"greenish"
9804-0,1476990434249,8,speaker,"blue"
9804-0,1476990445916,8,listener,"lighter blue or greyish"
9804-0,1476990455844,8,speaker,"light"
9804-0,1476990465223,9,speaker,"maroon"
9804-0,1476990473733,10,speaker,"green"
9804-0,1476990494306,11,speaker,"purple"
9804-0,1476990511325,12,speaker,"brown"
9804-0,1476990528020,13,speaker,"brown"
9804-0,1476990548530,14,speaker,"not oragreen"
9804-0,1476990568558,14,speaker,"green"
9804-0,1476990579439,15,speaker,"purple"
9804-0,1476990588870,16,speaker,"orange"
9804-0,1476990597160,17,speaker,"blue"
9804-0,1476990623349,18,speaker,"not bright green"
9804-0,1476990643061,19,speaker,"purpleyellowish green"
9804-0,1476990658446,19,listener,"Yellow? Yellow green? or bright green?"
9804-0,1476990665631,19,speaker,"yellow green"
9804-0,1476990674025,20,speaker,"purple"
9804-0,1476990686045,21,speaker,"dark green"
9804-0,1476990696232,22,speaker,"purple"
9804-0,1476990705371,23,speaker,"blue"
9804-0,1476990714111,24,speaker,"purple"
9804-0,1476990732460,25,speaker,"purplish red"
9804-0,1476990745199,26,speaker,"grey"
9804-0,1476990760262,27,speaker,"brown"
9804-0,1476990791163,28,speaker,"lighter gray, not blue"
9804-0,1476990826567,29,speaker,"purplish blue"
9804-0,1476990843809,30,speaker,"brighter"
9804-0,1476990861901,31,speaker,"frue red "
9804-0,1476990878395,32,speaker,"purpletr"
9804-0,1476990888978,33,speaker,"blue"
9804-0,1476990906156,34,speaker,"purple, not pink"
9804-0,1476990931210,35,speaker,"mustard"
9804-0,1476990957356,36,speaker,"blue, not bright "
9804-0,1476990976053,36,speaker,"darker"
9804-0,1476990979512,36,listener,"Sky blue or seafoam blue?"
9804-0,1476991019291,37,speaker,"purple"
9804-0,1476991037857,38,speaker,"bright purple"
9804-0,1476991053533,39,speaker,"darkest"
9804-0,1476991066497,40,speaker,"brown"
9804-0,1476991076457,41,speaker,"purple"
9804-0,1476991088888,42,speaker,"blue green"
9804-0,1476991098769,43,speaker,"blue"
9804-0,1476991111869,44,speaker,"light purple"
9804-0,1476991135879,45,speaker,"true blue"
9804-0,1476991148402,46,speaker,"green"
9804-0,1476991166061,47,speaker,"orange"
9804-0,1476991175804,48,speaker,"brown"
9804-0,1476991184274,49,speaker,"blue"
9804-0,1476991192665,50,speaker,"yellow"
