gameid,time,roundNum,sender,contents
7251-8,1476997103687,1,speaker,"blue"
7251-8,1476997115075,2,speaker,"dull, dark"
7251-8,1476997136544,3,speaker,"brown green, but not the bright one"
7251-8,1476997147215,4,speaker,"bright pink"
7251-8,1476997158394,5,speaker,"yellow green"
7251-8,1476997171300,6,speaker,"reddest"
7251-8,1476997184102,7,speaker,"green, not neon"
7251-8,1476997191956,8,speaker,"gray"
7251-8,1476997200002,9,speaker,"gray"
7251-8,1476997206035,10,speaker,"blue"
7251-8,1476997215630,11,speaker,"dark blue"
7251-8,1476997230831,12,speaker,"green gray"
7251-8,1476997242469,13,speaker,"aqua"
7251-8,1476997250684,14,speaker,"blue"
7251-8,1476997260835,15,speaker,"purple, not gray"
7251-8,1476997271552,16,speaker,"green-gray"
7251-8,1476997281000,17,speaker,"blue"
7251-8,1476997287955,18,speaker,"purple"
7251-8,1476997304252,19,speaker,"olive"
7251-8,1476997314950,20,speaker,"pink"
7251-8,1476997322339,21,speaker,"blue"
7251-8,1476997335228,22,speaker,"teal kind of"
7251-8,1476997347326,23,speaker,"green"
7251-8,1476997355911,24,speaker,"gray"
7251-8,1476997367400,25,speaker,"brownest"
7251-8,1476997374597,26,speaker,"green"
7251-8,1476997395570,27,speaker,"purple, not red at all"
7251-8,1476997404951,28,speaker,"pink"
7251-8,1476997417008,29,speaker,"gray-brown"
7251-8,1476997424136,30,speaker,"blue"
7251-8,1476997433924,31,speaker,"light purple"
7251-8,1476997443200,32,speaker,"blue"
7251-8,1476997453202,33,speaker,"teal"
7251-8,1476997464126,34,speaker,"dark green"
7251-8,1476997473257,35,speaker,"bright green"
7251-8,1476997482032,36,speaker,"dark green"
7251-8,1476997491399,37,speaker,"dark blue"
7251-8,1476997508154,38,speaker,"bright green"
7251-8,1476997514968,39,speaker,"red"
7251-8,1476997537458,40,speaker,"blue"
7251-8,1476997554636,41,speaker,"green gray"
7251-8,1476997571098,42,speaker,"purple gray"
7251-8,1476997585861,43,speaker,"pink"
7251-8,1476997599676,44,speaker,"purple gray"
7251-8,1476997610577,45,speaker,"pink purple"
7251-8,1476997618858,46,speaker,"blue"
7251-8,1476997629281,47,speaker,"lightest blue"
7251-8,1476997636939,48,speaker,"olive"
7251-8,1476997644068,49,speaker,"green"
7251-8,1476997655725,50,speaker,"brown gray"
