gameid,time,roundNum,sender,contents
8065-f,1476998171972,1,speaker,"brown"
8065-f,1476998184837,2,speaker,"lighter blue, not greenish"
8065-f,1476998196925,3,speaker,"darker olive green"
8065-f,1476998208318,4,speaker,"pink"
8065-f,1476998215293,5,speaker,"lime green"
8065-f,1476998243141,6,speaker,"more purple, less pink"
8065-f,1476998257981,7,speaker,"brighter green"
8065-f,1476998272797,8,speaker,"brightest lime green"
8065-f,1476998280557,9,speaker,"pink"
8065-f,1476998349852,9,speaker,"still there?"
