gameid,time,roundNum,sender,contents
2796-8,1476480647532,1,speaker,"darkest color"
2796-8,1476480664162,2,speaker,"color of a lime"
2796-8,1476480696706,3,speaker,"you drink it with breakfast  a juice"
2796-8,1476480707609,4,speaker,"strawberry"
2796-8,1476480740479,5,speaker,"jet____ airline"
2796-8,1476480747702,5,speaker,"darkest shade"
2796-8,1476480759650,6,speaker,"sorry I suck"
2796-8,1476480770591,6,speaker,"the brightest color"
2796-8,1476480775327,6,listener,"nah its creative"
2796-8,1476480789094,6,listener,"green screen green?"
2796-8,1476480813330,6,speaker,"one of the two similar colors"
2796-8,1476480828127,7,speaker,"nice!"
2796-8,1476480851885,7,listener,"thanks"
2796-8,1476480853490,7,speaker,"the least common color you typically see"
2796-8,1476480877378,8,speaker,"the brightest shade"
2796-8,1476480889250,9,speaker,"sorry"
2796-8,1476480897065,9,listener,"your doing fine "
2796-8,1476480909391,9,listener,"green purple or olive"
2796-8,1476480917426,9,speaker,"green"
2796-8,1476480930306,10,speaker,"are we supposed to say the color?"
2796-8,1476480935616,10,listener,"yes lol"
2796-8,1476480949107,10,speaker,"bright purple"
2796-8,1476480959912,11,speaker,"bright green"
2796-8,1476480968808,12,speaker,"bright red"
2796-8,1476480980290,12,listener,"were you under the impression you couldnt say the color"
2796-8,1476480992690,13,speaker,"Yes."
2796-8,1476481000594,13,speaker,"dark blue"
2796-8,1476481013603,13,listener,"I thought you were just trying to lighten things up "
2796-8,1476481024834,14,speaker,"Purple"
2796-8,1476481037010,15,speaker,"brightest pink."
2796-8,1476481051480,16,speaker,"strongest purple"
2796-8,1476481066968,17,speaker,"the less bright pink"
2796-8,1476481075993,18,listener,"sorry"
2796-8,1476481076520,18,speaker,"doh!"
2796-8,1476481085890,18,speaker,"your totally cool!"
2796-8,1476481092498,18,speaker,"the darker blue"
2796-8,1476481120824,19,speaker,"teal maybe? not grey or green"
2796-8,1476481142280,20,speaker,"the lighter shade of purple"
2796-8,1476481157384,21,speaker,"grey"
2796-8,1476481182328,22,speaker,"the darkest shade...military color"
2796-8,1476481201010,23,speaker,"purple"
2796-8,1476481215394,24,speaker,"brightest"
2796-8,1476481228834,25,speaker,"sorry"
2796-8,1476481232146,25,speaker,"grey"
2796-8,1476481239528,26,speaker,"red"
2796-8,1476481249627,26,listener,"not your fault some of these are hard "
2796-8,1476481260584,27,speaker,"yellow"
2796-8,1476481276162,28,speaker,"screen differences maybe."
2796-8,1476481285624,28,speaker,"not grey or yellow"
2796-8,1476481296626,29,speaker,"grey"
2796-8,1476481308488,30,speaker,"green"
2796-8,1476481319624,31,speaker,"purple"
2796-8,1476481331148,31,listener,"pinish "
2796-8,1476481333934,31,listener,"pinkish"
2796-8,1476481346850,32,speaker,"yes"
2796-8,1476481351512,32,speaker,"purple"
2796-8,1476481364933,33,speaker,"pink "
2796-8,1476481385906,34,speaker,"not blue or purple"
2796-8,1476481399673,35,speaker,"purple"
2796-8,1476481430466,36,speaker,"not the greenish or the one closest to blue"
2796-8,1476481447800,37,speaker,"not red or blue"
2796-8,1476481460313,38,speaker,"blue"
2796-8,1476481476543,39,speaker,"not purple or green"
2796-8,1476481514623,40,speaker,"not normal green or purple"
2796-8,1476481538952,41,speaker,"you are awesome"
2796-8,1476481550067,41,listener,"Thanks so are you"
2796-8,1476481555512,41,speaker,"loks more grey than green"
2796-8,1476481558210,41,speaker,"looks"
2796-8,1476481565178,42,speaker,"blue"
2796-8,1476481573461,43,speaker,"purple"
2796-8,1476481582476,44,speaker,"lime"
2796-8,1476481594214,45,speaker,"purple"
2796-8,1476481610338,46,speaker,"lighter purple"
2796-8,1476481625928,47,speaker,"the one that is not green"
2796-8,1476481635824,48,listener,"sorry"
2796-8,1476481636092,48,speaker,"sorry"
2796-8,1476481640778,48,speaker,"grey"
2796-8,1476481644425,48,listener,"i clicked the wrong one"
2796-8,1476481652940,49,speaker,"oops"
2796-8,1476481662530,49,speaker,"the darkest yellow"
2796-8,1476481686610,50,speaker,"our screens have to have different color settings lol."
2796-8,1476481690969,50,speaker,"purple"
