gameid,time,roundNum,sender,contents
5256-c,1476490871296,1,speaker,"Darkest purple"
5256-c,1476490880643,1,listener,"dull?"
5256-c,1476490891493,1,speaker,"The closest one to purple"
5256-c,1476490896235,1,listener,"(also someone told me we can't say the colors)"
5256-c,1476490919705,2,speaker,"We can say colors"
5256-c,1476490930443,2,speaker,"Brightest brightest neon green"
5256-c,1476490934801,2,listener,"(*Okay)"
5256-c,1476490945926,3,speaker,"Pink"
5256-c,1476490961183,4,speaker,"Dark olive green"
5256-c,1476490986245,5,speaker,"tannish"
5256-c,1476490999939,6,speaker,"The brightest pink"
5256-c,1476491024851,7,speaker,"Not the blue not the bright green"
5256-c,1476491042020,8,speaker,"Olive-dark"
5256-c,1476491056812,9,speaker,"Turquoise"
5256-c,1476491083533,10,speaker,"Not orange not tan-purplish"
5256-c,1476491099037,11,speaker,"Not yellow"
5256-c,1476491104916,11,listener,"(sorry about that)"
5256-c,1476491116777,11,speaker,"Not the bright green (no problem LOL)"
5256-c,1476491126926,12,speaker,"Green"
5256-c,1476491143580,13,speaker,"Bright pink"
5256-c,1476491159705,14,speaker,"Pinkish red"
5256-c,1476491162963,14,listener,"concrete, sick salmon or grass lol"
5256-c,1476491173227,15,listener,"lovely"
5256-c,1476491175792,15,speaker,"Gray"
5256-c,1476491200607,16,speaker,"Reddish"
5256-c,1476491219576,17,speaker,"The brightest green"
5256-c,1476491230529,18,speaker,"Sky-blue"
5256-c,1476491259050,19,speaker,"Neon purple-pinkish, not the shaded ones"
5256-c,1476491274980,20,speaker,"Blood"
5256-c,1476491285167,21,speaker,"Turquoise"
5256-c,1476491305368,22,speaker,"Definitely not the dark green"
5256-c,1476491316380,22,speaker,"Definitely not watermelon"
5256-c,1476491326611,23,speaker,"Pink"
5256-c,1476491335187,24,speaker,"Green"
5256-c,1476491346764,25,speaker,"Olive"
5256-c,1476491356216,26,speaker,"Blue"
5256-c,1476491366929,27,speaker,"Bright orange"
5256-c,1476491375174,28,speaker,"Read"
5256-c,1476491391527,29,speaker,"Olive"
5256-c,1476491404620,30,speaker,"Neon pink"
5256-c,1476491420089,31,speaker,"Dark orange"
5256-c,1476491433993,32,listener,"....oh lovely"
5256-c,1476491442074,32,speaker,"LOL"
5256-c,1476491450506,32,speaker,"Not the bluish"
5256-c,1476491463711,32,listener,"redish?"
5256-c,1476491463750,32,speaker,"The one with the tint of Brown"
5256-c,1476491479433,33,listener,"(Huzzah!)"
5256-c,1476491482494,33,speaker,"Grayish blue"
5256-c,1476491499155,34,speaker,"Not turquoise"
5256-c,1476491504754,34,speaker,"Light green"
5256-c,1476491513069,35,speaker,"Pink"
5256-c,1476491524504,36,speaker,"Maroon"
5256-c,1476491547086,37,speaker,"Maroon"
5256-c,1476491552177,37,speaker,"Not purple"
5256-c,1476491561326,38,listener,"(sorry!)"
5256-c,1476491569547,38,speaker,"Turquoise-no problem ;-)"
5256-c,1476491596231,39,speaker,"Not purple Reddish"
5256-c,1476491607976,40,speaker,"Green"
5256-c,1476491626136,41,speaker,"Not bright green"
5256-c,1476491635701,41,speaker,"The dark olive one"
5256-c,1476491647228,42,speaker,"Dark blue"
5256-c,1476491654387,42,listener,"(I'm not doing that well I apologize)"
5256-c,1476491670300,43,speaker,"You're doing fine it's me-turquoise"
5256-c,1476491688884,44,speaker,"Purple-ish blue"
5256-c,1476491704309,45,speaker,"Neon pink"
5256-c,1476491733857,46,speaker,"Not green like grass not limegreen"
5256-c,1476491740155,46,speaker,"Just a Dole green"
5256-c,1476491750103,47,listener,"(success!)"
5256-c,1476491762985,47,listener,"olive, tan and vomit lol"
5256-c,1476491770169,47,speaker,"Greenish gray-"
5256-c,1476491784821,48,speaker,"Neon pink"
5256-c,1476491812327,49,speaker,"Excellent job-not the green, not the brown gray, the bluish gray"
5256-c,1476491847258,50,listener,"same for you! "
5256-c,1476491853001,50,speaker,"Yellow"
