gameid,time,roundNum,sender,contents
4216-9,1476495306821,1,speaker,"kind of yellowish"
4216-9,1476495323953,2,speaker,"its blueish and purpleish"
4216-9,1476495328544,2,speaker,"not the pink"
4216-9,1476495337711,2,speaker,"like a lightish blue"
4216-9,1476495347812,3,speaker,"fushia"
4216-9,1476495357661,3,speaker,"not purple more pink"
4216-9,1476495372181,4,speaker,"blueish gray"
4216-9,1476495385538,5,speaker,"pink"
4216-9,1476495399181,6,speaker,"gray, not the blueish gray just solid gray"
4216-9,1476495409739,7,speaker,"orange"
4216-9,1476495416226,8,speaker,"blue"
4216-9,1476495426891,9,speaker,"green (seafoam)"
4216-9,1476495437025,10,speaker,"dark purple"
4216-9,1476495449189,11,speaker,"sky blue"
4216-9,1476495457671,12,speaker,"tannish"
4216-9,1476495472481,13,speaker,"purple"
4216-9,1476495493215,14,speaker,"gree, the bright green not the one that looks kinda dingy"
4216-9,1476495514965,15,speaker,"the blueish green"
4216-9,1476495524632,16,speaker,"tanish"
4216-9,1476495536088,17,speaker,"green"
4216-9,1476495545334,18,speaker,"purple"
4216-9,1476495566496,18,speaker,"not the pink one not the light one but the purple one"
4216-9,1476495585106,18,listener,"There's a salmon color, a dark pink and a light pink IMO"
4216-9,1476495585249,18,speaker,"its like a perriwinkle purple lol"
4216-9,1476495606144,18,speaker,"not the dark pink and not the salmon color"
4216-9,1476495617439,19,speaker,"dark purple"
4216-9,1476495640770,20,speaker,"grayish it looks kind of light lighhhtttt purple"
4216-9,1476495650328,20,speaker,"not the purple one its kinda grayish"
4216-9,1476495664275,21,speaker,"gray, not the one with the blueish hue"
4216-9,1476495682519,21,listener,"errr"
4216-9,1476495691615,21,speaker,"theres like a blueish gray lol and an orange and a darker grey"
4216-9,1476495700495,21,speaker,"lol"
4216-9,1476495709710,22,speaker,"green"
4216-9,1476495724418,23,speaker,"gray not light light blue, "
4216-9,1476495734704,24,speaker,"green"
4216-9,1476495746059,24,listener,"like green or neon green?"
4216-9,1476495752476,24,speaker,"like green green not neon"
4216-9,1476495762457,25,speaker,"pink"
4216-9,1476495771283,26,speaker,"neon green"
4216-9,1476495780307,27,speaker,"purple"
4216-9,1476495794277,28,speaker,"seafoam green"
4216-9,1476495811226,28,speaker,"the brighter looking one"
4216-9,1476495816623,28,listener,"I see a lighter green, a turquoise and a blue"
4216-9,1476495822180,28,speaker,"turquoise"
4216-9,1476495840591,28,listener,"crap, I was thinking you meant the other one, lol"
4216-9,1476495843887,28,listener,"now I'm confused"
4216-9,1476495852182,28,speaker,"lol sorry lol this is fun but harder than i thought lol"
4216-9,1476495857871,28,speaker,"its like a bright greenish"
4216-9,1476495862488,28,speaker,"not the light colored greenish one"
4216-9,1476495866999,28,speaker,"the BRIGHT lookin one hahah"
4216-9,1476495875041,28,listener,"here goes nothin"
4216-9,1476495876865,28,speaker,"turquoise sounds right"
4216-9,1476495877965,28,speaker,"lol"
4216-9,1476495884645,29,speaker,"yay lol"
4216-9,1476495893919,29,speaker,"ok like the grayish purple not the regular purple"
4216-9,1476495908695,30,speaker,"the ugly greenish? color"
4216-9,1476495915862,30,speaker,"greenish tan"
4216-9,1476495917460,30,listener,"the yellowish one?"
4216-9,1476495919267,30,speaker,"yeah"
4216-9,1476495920462,30,speaker,"lol"
4216-9,1476495934692,31,speaker,"dark purple, not the pinkish looking one"
4216-9,1476495947505,32,speaker,"the ugly yellowish "
4216-9,1476495956740,33,speaker,"purple"
4216-9,1476495961912,33,listener,"perfect adjectives, lol"
4216-9,1476495966074,33,speaker,"hahah im trying lol"
4216-9,1476495975255,34,speaker,"orange"
4216-9,1476495990886,35,speaker,"the light reddish pink"
4216-9,1476496019829,36,speaker,"oh crap lol the greenish kinda like greenish and ugly yellow "
4216-9,1476496062870,36,speaker,"not the blueish one, not the brighter green the light greenish yellow"
4216-9,1476496062972,36,listener,"There's like a dying grass green, a grayish one and a light green"
4216-9,1476496070351,36,speaker,"yeah dead grass "
4216-9,1476496072247,36,speaker,"lol"
4216-9,1476496079612,37,listener,"hahaha"
4216-9,1476496101951,37,speaker,"the purpleish blueish lol"
4216-9,1476496108023,37,speaker,"not the light one"
4216-9,1476496120063,37,listener,"I see a dark purple, a light purple and a gray"
4216-9,1476496124796,37,speaker,"dark purple lol "
4216-9,1476496137712,38,listener,">.<"
4216-9,1476496138661,38,speaker,"purple like BAM purple"
4216-9,1476496139639,38,speaker,"lol"
4216-9,1476496149865,38,speaker,"not pink not lavendar"
4216-9,1476496169817,39,speaker,"dead grass lmao"
4216-9,1476496184368,40,speaker,"blush..like pinkish red"
4216-9,1476496200830,41,speaker,"green , not neon "
4216-9,1476496210267,42,speaker,"purple"
4216-9,1476496224003,43,speaker,"tannish"
4216-9,1476496236450,44,speaker,"like a gray color"
4216-9,1476496260767,45,speaker,"Gray not grayish blue or pinkish just like ...gray lol"
4216-9,1476496278592,45,speaker,"theres one thats got a bit of blue or purpleish in it.. not that one.. not the pink "
4216-9,1476496281639,45,listener,"dark gray, light gray and barny"
4216-9,1476496286057,45,speaker,"dark gray"
4216-9,1476496295391,46,speaker,"pink"
4216-9,1476496297351,46,listener,"bleh"
4216-9,1476496305660,47,speaker,"purple"
4216-9,1476496338278,48,speaker,"not the blue one, not the dead grass one the tannish looking one"
4216-9,1476496352112,49,speaker,"this was fun thank you lol "
4216-9,1476496355298,49,speaker,"the reddish"
4216-9,1476496361164,49,listener,"same =)"
4216-9,1476496372367,50,speaker,"purpley"
