gameid,time,roundNum,sender,contents
0813-a,1459897638051,1,speaker,"blue"
0813-a,1459897649706,2,speaker,"bright red"
0813-a,1459897670475,3,speaker,"not dark and not lime green"
0813-a,1459897683627,4,speaker,"dark blue"
0813-a,1459897696304,5,speaker,"pastel green"
0813-a,1459897710782,5,listener,"darker green?"
0813-a,1459897714935,5,speaker,"creamier green"
0813-a,1459897719600,5,speaker,"not the puke one"
0813-a,1459897726782,6,listener,"Thanks"
0813-a,1459897733414,6,speaker,"blueish green"
0813-a,1459897752840,7,speaker,"dull pink"
0813-a,1459897763536,7,listener,"The bright one?"
0813-a,1459897769358,7,speaker,"no the one that is more purple"
0813-a,1459897788351,8,speaker,"not pastel green the other green"
0813-a,1459897798102,9,speaker,"teal"
0813-a,1459897811424,10,speaker,"tiffany blue"
0813-a,1459897824013,11,speaker,"puke green"
0813-a,1459897836141,12,speaker,"grey"
0813-a,1459897843756,12,speaker,"or green"
0813-a,1459897855234,13,speaker,"bright pruple"
0813-a,1459897858201,13,speaker,"*purple"
0813-a,1459897865840,13,speaker,"like the color of barney"
0813-a,1459897875548,14,speaker,"orange"
0813-a,1459897882265,15,speaker,"green"
0813-a,1459897884533,15,speaker,"lime green"
0813-a,1459897891465,16,speaker,"orange"
0813-a,1459897898121,17,speaker,"orange"
0813-a,1459897905541,18,speaker,"brown"
0813-a,1459897916833,19,speaker,"darker blue"
0813-a,1459897927417,20,speaker,"red orange"
0813-a,1459897934153,21,speaker,"purple"
0813-a,1459897941394,22,speaker,"olive"
0813-a,1459897949249,23,speaker,"darkest blue"
0813-a,1459897957111,24,speaker,"slate"
0813-a,1459897962383,24,speaker,"slate blue"
0813-a,1459897994143,25,speaker,"darkest green?"
0813-a,1459898002147,26,listener,"got it"
0813-a,1459898010463,26,speaker,"darkest tan "
0813-a,1459898019324,27,speaker,"red"
0813-a,1459898025390,28,speaker,"blue"
0813-a,1459898035596,29,speaker,"darker blue"
0813-a,1459898042541,30,speaker,"orange"
0813-a,1459898058391,31,speaker,"greyish purple"
0813-a,1459898066165,32,speaker,"pink"
0813-a,1459898079270,33,speaker,"blue"
0813-a,1459898094987,33,listener,"which one"
0813-a,1459898102044,33,speaker,"not the one that looks purple"
0813-a,1459898116283,34,speaker,"yellow green"
0813-a,1459898134244,35,speaker,"darker blue"
0813-a,1459898141709,36,speaker,"pink"
0813-a,1459898153489,37,speaker,"blue"
0813-a,1459898163649,38,speaker,"yellow"
0813-a,1459898173203,39,speaker,"purple"
0813-a,1459898182766,40,speaker,"pink"
0813-a,1459898198495,41,speaker,"dark purple"
0813-a,1459898208363,42,speaker,"greyish purple"
0813-a,1459898225585,43,speaker,"dark green"
0813-a,1459898235572,44,speaker,"pink"
0813-a,1459898244766,45,speaker,"lighter orange"
0813-a,1459898261886,46,speaker,"medium green"
0813-a,1459898276548,47,speaker,"dark green"
0813-a,1459898298022,48,speaker,"dull pink? "
0813-a,1459898315059,49,speaker,"purpleish grey"
0813-a,1459898324669,50,speaker,"purple"
0813-a,1459898329076,50,listener,"thanks"
