gameid,time,roundNum,sender,contents
5899-f,1476470045494,1,speaker,"the blue one"
5899-f,1476470056584,2,speaker,"the pink one"
5899-f,1476470077570,3,speaker,"the one that is most obviously green, not olive or yellowish"
5899-f,1476470094840,4,speaker,"the brighter green. not the dull yellower one"
5899-f,1476470119536,5,speaker,"the more pink one, not the brighter purple one"
5899-f,1476470130511,6,speaker,"the browinsh one"
5899-f,1476470142465,7,speaker,"bright pink"
5899-f,1476470150168,8,speaker,"red one"
5899-f,1476470175751,9,speaker,"gray, not grayish blue"
5899-f,1476470190876,9,listener,"is it the one that's more brown?"
5899-f,1476470203944,9,speaker,"the duller one, looks more silver almost"
5899-f,1476470213529,10,speaker,"purple"
5899-f,1476470224143,11,speaker,"blue"
5899-f,1476470246916,12,speaker,"okay so magenta, not the brightest but not the dullest"
5899-f,1476470261537,13,speaker,"the more gray one"
5899-f,1476470271551,14,speaker,"purple"
5899-f,1476470282167,15,speaker,"brighter pink"
5899-f,1476470310633,16,speaker,"blue, I think we've only gotten two wrong so were doing good"
5899-f,1476470317741,16,listener,"dark or light blue"
5899-f,1476470339929,16,speaker,"light, the other one looks purple to me"
5899-f,1476470361913,17,speaker,"the one that has a slight tint to it, the one not pure gray"
5899-f,1476470379913,18,speaker,"yellow"
5899-f,1476470395169,19,speaker,"grayish brown"
5899-f,1476470409680,20,speaker,"yellow"
5899-f,1476470416577,21,speaker,"pink"
5899-f,1476470425408,22,speaker,"redish"
5899-f,1476470434065,23,speaker,"dull pink"
5899-f,1476470440824,24,speaker,"red"
5899-f,1476470451650,25,speaker,"brightest"
5899-f,1476470458489,26,speaker,"gray"
5899-f,1476470485441,27,speaker,"not the olive or yellowish one. the greenest one"
5899-f,1476470496841,28,speaker,"bright blue"
5899-f,1476470505352,29,speaker,"orange"
5899-f,1476470517864,30,speaker,"browish one"
5899-f,1476470526088,31,speaker,"bright green"
5899-f,1476470536376,32,speaker,"blue green"
5899-f,1476470557321,33,speaker,"bluish purple, not the pure purple"
5899-f,1476470569465,34,speaker,"green"
5899-f,1476470580087,35,speaker,"blue"
5899-f,1476470596677,36,speaker,"bright blue"
5899-f,1476470610369,37,speaker,"hyper pink"
5899-f,1476470624393,38,speaker,"green not brownish or yellow"
5899-f,1476470636593,39,speaker,"dark blue"
5899-f,1476470649850,40,speaker,"brighter purple not blue"
5899-f,1476470671296,41,speaker,"the yellow green one"
5899-f,1476470679984,42,speaker,"purple"
5899-f,1476470691248,43,speaker,"dull green"
5899-f,1476470701689,44,speaker,"the blueish"
5899-f,1476470714289,45,speaker,"blue"
5899-f,1476470723161,46,speaker,"darker blye"
5899-f,1476470741400,47,speaker,"purple blue"
5899-f,1476470756273,48,speaker,"orange red, dull one not bright"
5899-f,1476470765377,49,speaker,"red"
5899-f,1476470783305,50,speaker,"greenish, not brightest or dullest"
