gameid,time,roundNum,sender,contents
4475-6,1476491472372,1,speaker,"The target is orange."
4475-6,1476491488776,2,speaker,"The target is bright green."
4475-6,1476491502726,3,speaker,"The target is purple."
4475-6,1476491503905,3,listener,"You can just say the color"
4475-6,1476491513466,4,speaker,"bright pink"
4475-6,1476491525568,5,speaker,"blue-gray"
4475-6,1476491537345,6,speaker,"yellow-green"
4475-6,1476491551113,7,speaker,"gray-blue"
4475-6,1476491569115,8,speaker,"yellow-green"
4475-6,1476491580006,9,speaker,"gray"
4475-6,1476491586072,10,speaker,"purple"
4475-6,1476491593794,11,speaker,"red"
4475-6,1476491601423,12,speaker,"green"
4475-6,1476491611185,13,speaker,"gray-blue"
4475-6,1476491621481,14,speaker,"dark purple"
4475-6,1476491629344,15,speaker,"bright green"
4475-6,1476491637372,15,listener,"yellowish one?"
4475-6,1476491639366,15,speaker,"yes"
4475-6,1476491650459,16,speaker,"dark purple"
4475-6,1476491660867,17,speaker,"blue"
4475-6,1476491669990,18,speaker,"bright blue"
4475-6,1476491683883,19,speaker,"medium green"
4475-6,1476491704530,20,speaker,"purple, not gray-purple"
4475-6,1476491711159,21,speaker,"blue"
4475-6,1476491718361,22,speaker,"bright pink"
4475-6,1476491726363,23,speaker,"bright green"
4475-6,1476491733440,24,speaker,"green"
4475-6,1476491742898,25,speaker,"green, not bright"
4475-6,1476491750795,26,speaker,"bright pink"
4475-6,1476491760082,27,speaker,"bright green"
4475-6,1476491766765,28,speaker,"blue"
4475-6,1476491773374,29,speaker,"orange"
4475-6,1476491780715,30,speaker,"green-gray"
4475-6,1476491791382,31,speaker,"medium purple"
4475-6,1476491801434,32,speaker,"green"
4475-6,1476491809519,33,speaker,"bright green"
4475-6,1476491817314,34,speaker,"gray"
4475-6,1476491822976,35,speaker,"red"
4475-6,1476491831887,36,speaker,"green-gray"
4475-6,1476491840095,37,speaker,"bright green"
4475-6,1476491846704,38,speaker,"blue"
4475-6,1476491856815,39,speaker,"dusty pink"
4475-6,1476491870721,40,speaker,"brighter teal"
4475-6,1476491879804,41,speaker,"bright green"
4475-6,1476491886561,42,speaker,"gray"
4475-6,1476491896328,43,speaker,"darker yellow"
4475-6,1476491908704,44,speaker,"yellow"
4475-6,1476491916475,45,speaker,"bright green"
4475-6,1476491925811,46,speaker,"bright green"
4475-6,1476491935174,47,speaker,"gray"
4475-6,1476491953331,48,speaker,"purple, darker"
4475-6,1476491965411,49,speaker,"gray"
4475-6,1476491971787,50,speaker,"blue"
