gameid,time,roundNum,sender,contents
3130-4,1476495512052,1,speaker,"aqua blue"
3130-4,1476495530558,2,speaker,"the grayest of the grey colors"
3130-4,1476495541897,3,speaker,"magenta color"
3130-4,1476495557274,4,speaker,"the tan or light brown color"
3130-4,1476495582843,5,speaker,"this is tough - the color that is the slightly brighter blue"
3130-4,1476495596395,6,speaker,"blue"
3130-4,1476495643299,7,speaker,"the olive green color - NOT the brighter green or the aqua-green"
3130-4,1476495683714,8,speaker,"another tough one - NOT the Blue and NOT the brighter purple;  pick the grey-purple"
3130-4,1476495737013,9,speaker,"tough one also;  NOT the bright green; and NOT the grey-green;  pick the drab olive green"
3130-4,1476495756911,10,speaker,"great job by the way!"
3130-4,1476495778731,10,listener,"Thanks. YOu too thats why iam picking the right ones"
3130-4,1476495793775,10,speaker,"this is the bright magenta color - NOT the purple and NOT the purple-grey"
3130-4,1476495808838,11,speaker,"purple color"
3130-4,1476495843553,12,speaker,"NOT the bright aqua blue;  Pick the turquoise blue"
3130-4,1476495874605,13,speaker,"Pick the drab blue;  NOT the bright blue or the purple"
3130-4,1476495900364,14,speaker,"Pick the aqua blue color"
3130-4,1476495954889,15,speaker,"Pick the BRIGHT purple;  NOT the purple-grey or the DULL purple"
3130-4,1476495999186,16,speaker,"Pick the turquoise blue - which is lighter than that aqua blue"
3130-4,1476496040959,17,speaker,"Pick the tan / beige color and DON'T pick either of the purple colors"
3130-4,1476496062858,18,speaker,"Pick the orange / rust color"
3130-4,1476496092468,19,speaker,"Pick the blue color"
3130-4,1476496105377,20,speaker,"Pick the green color"
3130-4,1476496127558,21,speaker,"Pick the purple - blue color"
3130-4,1476496151269,22,speaker,"Tough one..."
3130-4,1476496166779,22,listener,"Is it the brightest green?"
3130-4,1476496180325,22,speaker,"Pick the darker green color - and NOT the bright light green "
3130-4,1476496188143,22,speaker,"The sea-green color"
3130-4,1476496203404,23,speaker,"Pick the blue"
3130-4,1476496248278,24,speaker,"Pick the light olive green color and NOT the bright green and NOT the sea-green"
3130-4,1476496264585,25,speaker,"Pick the purple"
3130-4,1476496293633,26,speaker,"Pick the bright aqua blue and NOT the turquoise blue"
3130-4,1476496319316,27,speaker,"Pick the brown raisin-like color and NOT the purple and NOT the green"
3130-4,1476496334093,28,speaker,"Pick the BRIGHT BRIGHT green"
3130-4,1476496346670,29,speaker,"Pick the orange"
3130-4,1476496363628,30,speaker,"Pick the straight green"
3130-4,1476496376782,31,speaker,"Pick the blue"
3130-4,1476496406627,32,speaker,"Pick the "true" purple and NOT the purple-grey color"
3130-4,1476496424838,33,speaker,"Pick the straight green and NOT the bright green"
3130-4,1476496483380,34,speaker,"NOT the bright purple and NOT the raisin-purple;  Pick the "true" purple"
3130-4,1476496509614,35,speaker,"Pick the lightest green - that has some yellow in it"
3130-4,1476496527312,36,speaker,"the aqua blue"
3130-4,1476496544107,37,speaker,"Pick the yellow gold"
3130-4,1476496561040,38,speaker,"Pick the BRIGHT purple"
3130-4,1476496573548,39,speaker,"Pick the BRIGHT green"
3130-4,1476496612056,40,speaker,"Pick the "deep" and "rich" blue but NOT the bright blue and not the blue-grey"
3130-4,1476496626740,41,speaker,"Pick the purple-grey color"
3130-4,1476496660085,42,listener,"My hit is going to expire in 5 minutes"
3130-4,1476496664973,42,speaker,"NOT the blue-grey color and NOT the brighter aqua BLUE"
3130-4,1476496683695,43,speaker,"blue-aqau"
3130-4,1476496702377,44,speaker,"the purple-grey slightly darker"
3130-4,1476496724133,45,speaker,"the purple-grey more grey than purple"
3130-4,1476496737579,46,speaker,"the purple-grey again"
3130-4,1476496747384,47,speaker,"the blue"
3130-4,1476496756267,48,speaker,"the magenta"
3130-4,1476496766705,49,speaker,"the deep and rich blue"
3130-4,1476496774691,50,speaker,"the blue"
