gameid,time,roundNum,sender,contents
8233-7,1476991918742,1,speaker,"the dusty blue"
8233-7,1476991930573,2,speaker,"dark purple"
8233-7,1476991938632,3,speaker,"blue"
8233-7,1476991962778,4,speaker,"i see slate grey, pink/grey, and orange/grey"
8233-7,1476991966008,4,speaker,"it's the slate grey one"
8233-7,1476991975111,4,speaker,"greenish maybe"
8233-7,1476991982768,5,speaker,"purple"
8233-7,1476991997968,6,speaker,"darkest green"
8233-7,1476992000398,6,speaker,"not super bright"
8233-7,1476992006569,7,speaker,"grey"
8233-7,1476992013618,8,speaker,"red"
8233-7,1476992029849,9,speaker,"the least green one"
8233-7,1476992044634,10,speaker,"the pinkest one"
8233-7,1476992073736,11,speaker,"green"
8233-7,1476992082896,12,speaker,"darker blue"
8233-7,1476992094343,13,speaker,"purple"
8233-7,1476992103976,14,speaker,"pink"
8233-7,1476992113423,15,speaker,"red"
8233-7,1476992121976,16,speaker,"green"
8233-7,1476992129969,17,speaker,"dusty blue"
8233-7,1476992142128,18,speaker,"the darker purple"
8233-7,1476992160208,19,speaker,"green (not yellow green)"
8233-7,1476992167449,20,speaker,"orange"
8233-7,1476992180976,21,speaker,"true blue"
8233-7,1476992189993,22,speaker,"blue"
8233-7,1476992204992,23,speaker,"the lightest one"
8233-7,1476992213088,24,speaker,"blue"
8233-7,1476992223369,25,speaker,"neon pink"
8233-7,1476992233503,26,speaker,"blue/grey"
8233-7,1476992262808,27,speaker,"there are two bright pinks - the less bright one"
8233-7,1476992279873,28,speaker,"the truer green"
8233-7,1476992286849,29,speaker,"grey"
8233-7,1476992298553,30,speaker,"kermit green"
8233-7,1476992310816,30,speaker,"hint of yellow green"
8233-7,1476992319576,31,speaker,"darker orange"
8233-7,1476992332376,32,speaker,"truer green"
8233-7,1476992342129,33,speaker,"greyblue"
8233-7,1476992349856,34,speaker,"blue"
8233-7,1476992368849,35,speaker,"truer purple"
8233-7,1476992372617,35,speaker,"not dusty purple"
8233-7,1476992380489,36,speaker,"oh lord"
8233-7,1476992387857,36,speaker,"one is greener?"
8233-7,1476992399250,36,speaker,"not the purpley one"
8233-7,1476992402976,36,speaker,"the other two are so close"
8233-7,1476992411708,36,listener,"darker or lighter?"
8233-7,1476992414616,36,speaker,"lighter"
8233-7,1476992423969,37,speaker,"blue"
8233-7,1476992435784,38,speaker,"brown"
8233-7,1476992445633,39,speaker,"green"
8233-7,1476992461899,40,speaker,"the two that are almost the same - the lighter one"
8233-7,1476992475624,41,speaker,"pink"
8233-7,1476992485049,42,speaker,"true blue"
8233-7,1476992491050,43,speaker,"pink"
8233-7,1476992498978,44,speaker,"true blue"
8233-7,1476992506093,45,speaker,"orange"
8233-7,1476992512211,46,speaker,"yellow"
8233-7,1476992527415,47,speaker,"two purples"
8233-7,1476992532170,47,speaker,"the truer one"
8233-7,1476992536024,47,speaker,"not the pinky one"
8233-7,1476992540580,48,speaker,"red"
8233-7,1476992569648,49,speaker,"of the two yellow/greens, the greener one"
8233-7,1476992589969,50,speaker,"grey (not grey purple)"
