gameid,time,roundNum,sender,contents
5087-4,1476991991140,1,speaker,"pink"
5087-4,1476992005841,1,listener,"which one bright or muted?"
5087-4,1476992009381,1,speaker,"bright"
5087-4,1476992021107,2,speaker,"orange"
5087-4,1476992032457,3,speaker,"gray"
5087-4,1476992044668,4,speaker,"the dull grayish blue"
5087-4,1476992055968,5,speaker,"bright blue"
5087-4,1476992074710,6,speaker,"brighter pinkish color"
5087-4,1476992095581,7,speaker,"gray"
5087-4,1476992106311,8,speaker,"bright pink"
5087-4,1476992114234,9,speaker,"purple"
5087-4,1476992131251,10,speaker,"olive-ish"
5087-4,1476992142957,11,speaker,"bright blue green"
5087-4,1476992151996,12,speaker,"pink"
5087-4,1476992167799,13,speaker,"not the lime green or the darker green"
5087-4,1476992170053,13,speaker,"green yellow"
5087-4,1476992181782,14,speaker,"purpleish"
5087-4,1476992194755,15,speaker,"not red or blue"
5087-4,1476992221180,16,speaker,"the blue/green color"
5087-4,1476992242067,17,speaker,"not lime or olive, the dull green"
5087-4,1476992266686,18,speaker,"the more dull blue"
5087-4,1476992289288,19,speaker,"light blue"
5087-4,1476992299572,20,speaker,"not red or orange"
5087-4,1476992312013,21,speaker,"magenta"
5087-4,1476992335307,22,speaker,"the brighter of the two that are purple/blue"
5087-4,1476992346634,23,speaker,"gray"
5087-4,1476992369514,24,speaker,"the lightest color"
5087-4,1476992379277,25,speaker,"pink"
5087-4,1476992396784,26,speaker,"pink"
5087-4,1476992415463,27,speaker,"greenish bornw"
5087-4,1476992416645,27,speaker,"brown"
5087-4,1476992426817,28,speaker,"royal blue"
5087-4,1476992437706,29,speaker,"brightest purple"
5087-4,1476992451777,30,speaker,"the darker of the pinks"
5087-4,1476992484243,31,speaker,"gray"
5087-4,1476992513377,32,speaker,"the more yellowish brown color"
5087-4,1476992533326,33,speaker,"gray"
5087-4,1476992547957,34,speaker,"the lighter green"
5087-4,1476992556719,35,speaker,"green"
5087-4,1476992572784,36,speaker,"the duller pink"
5087-4,1476992582505,37,speaker,"darker green"
5087-4,1476992590599,38,speaker,"blue"
5087-4,1476992608358,39,speaker,"the duller blue green"
5087-4,1476992624115,40,speaker,"dull green"
5087-4,1476992653138,41,speaker,"the more purple of the pinks"
5087-4,1476992663715,42,speaker,"bright yellow green"
5087-4,1476992684663,43,speaker,"the truest green"
5087-4,1476992693562,44,speaker,"green"
5087-4,1476992699888,45,speaker,"brown"
5087-4,1476992706922,46,speaker,"orange"
5087-4,1476992713669,47,speaker,"pink"
5087-4,1476992728133,48,speaker,"green"
5087-4,1476992737180,49,speaker,"blue"
5087-4,1476992746049,50,speaker,"purple"
