gameid,time,roundNum,sender,contents
0133-f,1476995773962,1,speaker,"one of the blues is the target"
0133-f,1476995783129,1,speaker,"its not the dark blue like superman blue "
0133-f,1476995788904,1,speaker,"its the pastel plue"
0133-f,1476995799893,2,speaker,"awesome"
0133-f,1476995811402,2,speaker,"The target is the only blue one"
0133-f,1476995852113,3,speaker,"ok target is the turquiouse one not the teal one"
0133-f,1476995867068,4,speaker,"target is pink"
0133-f,1476995887470,5,speaker,"target is the pinkish color"
0133-f,1476995907685,6,speaker,"target is the color that is grape hubabuba gum"
0133-f,1476995934384,7,speaker,"the target is the darker teal "
0133-f,1476995947473,8,speaker,"target is the greenish color"
0133-f,1476995976016,9,speaker,"target is the greener one "
0133-f,1476995994395,10,speaker,"target is the more pinkish color"
0133-f,1476996008625,11,speaker,"Target is the dark orange"
0133-f,1476996041920,12,speaker,"target is not the puple grey one but the one that is more grey"
0133-f,1476996070313,13,speaker,"target is the darker color not the teal"
0133-f,1476996083827,14,speaker,"yellow is the target"
0133-f,1476996095676,15,speaker,"purple"
0133-f,1476996117606,16,speaker,"the more purple color is target the 2 pinkish ones are not"
0133-f,1476996133444,17,speaker,"yellow"
0133-f,1476996141554,18,speaker,"blue"
0133-f,1476996148492,19,speaker,"purple"
0133-f,1476996151257,19,speaker,"lavendder"
0133-f,1476996174560,20,speaker,"grape hubabuba color"
0133-f,1476996191077,21,speaker,"darker green"
0133-f,1476996215614,22,speaker,"the darker grey one"
0133-f,1476996255276,23,speaker,"teh dull green not the darkest one"
0133-f,1476996268519,24,speaker,"blue"
0133-f,1476996302261,25,speaker,"the grey purple color not the one that is more purple then grey the one that ismore grey then puruple"
0133-f,1476996332780,26,speaker,"teal"
0133-f,1476996344237,27,speaker,"yellow"
0133-f,1476996365010,28,speaker,"the blue one not the green/ble"
0133-f,1476996378810,29,speaker,"green"
0133-f,1476996395661,30,speaker,"the dull grey purple"
0133-f,1476996411985,31,speaker,"turquoise "
0133-f,1476996433622,32,speaker,"not the pea green but the darker one of the pea greens"
0133-f,1476996451368,33,speaker,"yellow"
0133-f,1476996472718,34,speaker,"the 2 purples its the"
0133-f,1476996480308,34,speaker,"greyish one"
0133-f,1476996491197,35,speaker,"blue"
0133-f,1476996498207,36,speaker,"blue"
0133-f,1476996500246,36,speaker,"wiat"
0133-f,1476996503340,36,speaker,"teal"
0133-f,1476996504673,36,speaker,"lol"
0133-f,1476996516327,37,speaker,"blue"
0133-f,1476996519644,37,speaker,"blue green"
0133-f,1476996527027,38,speaker,"olive"
0133-f,1476996534148,39,speaker,"teal"
0133-f,1476996549494,40,speaker,"the more yellow one"
0133-f,1476996563939,41,speaker,"yellow"
0133-f,1476996576987,42,speaker,"not the bright pink"
0133-f,1476996583876,42,speaker,"the purplelish one"
0133-f,1476996592472,43,speaker,"green"
0133-f,1476996615572,44,speaker,"the 2 teals is the more blue one then green"
0133-f,1476996627284,45,speaker,"orange"
0133-f,1476996635244,46,speaker,"pink"
0133-f,1476996650365,47,speaker,"the more purple one "
0133-f,1476996660718,48,speaker,"blue"
0133-f,1476996682703,49,speaker,"green not the yellowish one or the olive one but the green one"
0133-f,1476996698066,50,speaker,"blue"
