gameid,time,roundNum,sender,contents
9258-7,1477002549553,1,speaker,"drab blue"
9258-7,1477002558153,2,speaker,"blue"
9258-7,1477002569173,3,speaker,"brighter of the blues"
9258-7,1477002591705,4,speaker,"brownish"
9258-7,1477002599164,5,speaker,"blue"
9258-7,1477002606945,6,speaker,"drab blue"
9258-7,1477002628158,7,speaker,"orange"
9258-7,1477002636105,8,speaker,"grey"
9258-7,1477002645826,9,speaker,"dull red"
9258-7,1477002660920,10,speaker,"blue"
9258-7,1477002671627,11,speaker,"most gren"
9258-7,1477002673487,11,speaker,"green"
9258-7,1477002686987,12,speaker,"blue"
9258-7,1477002698428,13,speaker,"orange"
9258-7,1477002708528,14,speaker,"blue tint"
9258-7,1477002723036,15,speaker,"purple tint"
9258-7,1477002735219,16,speaker,"bright rose"
9258-7,1477002747501,17,speaker,"brown"
9258-7,1477002754530,18,speaker,"grey"
9258-7,1477002761700,19,speaker,"green"
9258-7,1477002774979,20,speaker,"brighter of green"
9258-7,1477002784373,21,speaker,"grey"
9258-7,1477002792352,22,speaker,"green"
9258-7,1477002801821,23,speaker,"purple"
9258-7,1477002816025,24,speaker,"greyish"
9258-7,1477002825453,25,speaker,"drab purple"
9258-7,1477002834032,26,speaker,"yellow"
9258-7,1477002841971,27,speaker,"purple"
9258-7,1477002857214,28,speaker,"green"
9258-7,1477002871924,29,speaker,"darker of the greens"
9258-7,1477002882265,30,speaker,"red"
9258-7,1477002897864,31,speaker,"bright yellow"
9258-7,1477002907797,32,listener,"dang"
9258-7,1477002911466,32,speaker,"yellow"
9258-7,1477002928466,33,speaker,"most brown"
9258-7,1477002935695,34,speaker,"pink"
9258-7,1477002950395,35,speaker,"grey"
9258-7,1477002961607,36,speaker,"purple"
9258-7,1477002968226,37,speaker,"grey"
9258-7,1477002986288,38,speaker,"daker of the two purples"
9258-7,1477002999278,39,speaker,"bright pink"
9258-7,1477003010958,40,speaker,"brightest color"
9258-7,1477003031009,41,speaker,"lime green"
9258-7,1477003047343,42,speaker,"most green"
9258-7,1477003065260,43,speaker,"red"
9258-7,1477003074989,44,speaker,"brighter purple"
9258-7,1477003097695,45,speaker,"duller of the purples"
9258-7,1477003104640,46,speaker,"green"
9258-7,1477003115734,47,speaker,"grey no green"
9258-7,1477003128302,48,speaker,"bright blue"
9258-7,1477003135393,49,speaker,"green"
9258-7,1477003143912,50,speaker,"bright purple"
