gameid,time,roundNum,sender,contents
7025-e,1476476047123,1,speaker,"The target is the brightest green"
7025-e,1476476120796,2,speaker,"A happy rose color, not drab"
7025-e,1476476179325,3,speaker,"lime green"
7025-e,1476476206844,4,speaker,"a dark military green"
7025-e,1476476255773,5,speaker,"2 blues very similar, more blue of the two less purple"
7025-e,1476476277968,6,speaker,"the brighter green"
7025-e,1476476298623,7,speaker,"a drab green"
7025-e,1476476339220,8,speaker,"complete gray"
7025-e,1476476380362,9,speaker,"a blue/purple"
7025-e,1476476395582,10,speaker,"the darker gray"
7025-e,1476476434939,11,speaker,"the darker green"
7025-e,1476476456179,12,speaker,"a green/blue color"
7025-e,1476476497050,13,speaker,"purple"
7025-e,1476476529076,13,speaker,"not blue just purple"
7025-e,1476476546532,14,speaker,"the bright light blue"
7025-e,1476476565295,15,speaker,"the dark gray"
7025-e,1476476632211,16,speaker,"best I can describe is the deeper blue not bright and not grayish"
7025-e,1476476666569,17,speaker,"red"
7025-e,1476476681671,18,speaker,"purple"
7025-e,1476476693004,19,speaker,"gray"
7025-e,1476476709066,20,speaker,"light purple"
7025-e,1476476725123,21,speaker,"bright green"
7025-e,1476476774814,22,speaker,"Not pink or purple looking. Similar to red"
7025-e,1476476792228,23,speaker,"the blue"
7025-e,1476476812048,24,speaker,"the grayish"
7025-e,1476476848809,25,speaker,"more blue with maybe gray in it"
7025-e,1476476867343,26,speaker,"absolute gray"
7025-e,1476476884343,27,speaker,"same absolute gray"
7025-e,1476476897539,28,speaker,"the blue"
7025-e,1476476937569,29,speaker,"darker shade of gray"
7025-e,1476476969318,30,speaker,"purple no pink in it"
7025-e,1476477017298,31,speaker,"lighter shade of blue but bright"
7025-e,1476477038598,32,speaker,"dark yellow"
7025-e,1476477052233,33,speaker,"dark pink"
7025-e,1476477117189,34,speaker,"not completely military style green, some blueish to it"
7025-e,1476477174724,35,speaker,"blueish/gray very drab"
7025-e,1476477186732,36,speaker,"yellow"
7025-e,1476477225069,37,speaker,"in the middle of the 2 purples "
7025-e,1476477262337,38,speaker,"not gray very rosey looking purple"
7025-e,1476477277823,39,speaker,"bright blue"
7025-e,1476477290094,40,speaker,"pink/red"
7025-e,1476477408553,41,speaker,"darker green"
7025-e,1476477418470,42,speaker,"green"
7025-e,1476477451802,43,speaker,"darkest purple almost gray"
7025-e,1476477470486,44,speaker,"the darker gray"
7025-e,1476477507793,45,speaker,"the darker drab green"
