gameid,time,roundNum,sender,contents
0521-6,1479512458384,1,listener,"helloo"
0521-6,1479512479879,2,listener,"help"
0521-6,1479512494133,3,speaker,"HI"
0521-6,1479512511634,4,speaker,"hello?"
0521-6,1479512515143,4,listener,"helloo"
0521-6,1479512531722,4,speaker,"some funkiness.~~~~~~~~~couldn't respond or see anything"
0521-6,1479512543534,4,speaker,"so the lily is in between the two colored blocks"
0521-6,1479512549543,4,speaker,"it's below the blue square"
0521-6,1479512570421,4,speaker,"directly below the lower right corner of the blue square "
0521-6,1479512594982,5,listener,"oh"
0521-6,1479512616842,5,speaker,"it's closer to the red rectangle"
0521-6,1479512638496,5,speaker,"it's located right adjacent to the lower right corner of the red rectangle"
0521-6,1479512662908,6,speaker,"it's inside the red rectangle"
0521-6,1479512682528,6,speaker,"it's inside the shorter and stouter quadrilateral "
0521-6,1479512717187,7,speaker,"it's adjacent to the midpoint of the large blue rectangle"
0521-6,1479512752987,8,speaker,"it's adjacent to the bottom midpoint of the red, shorter quadrilateral"
0521-6,1479512776405,9,listener,"hard"
0521-6,1479512781152,9,speaker,"very"
0521-6,1479512786265,9,speaker,"it's not adjacent to either shape"
0521-6,1479512802151,9,speaker,"it's near the bottom of both shapes "
0521-6,1479512807655,9,speaker,"not touching either shape "
0521-6,1479512835139,10,speaker,"it's inside the long blue rectangle, on the right side of it"
0521-6,1479512855342,11,speaker,"it's inside the large red rectangle"
0521-6,1479512960794,12,listener,"lots of trials ahead"
0521-6,1479513011610,13,listener,"hmm"
0521-6,1479513044122,14,listener,"I'm not sure about this"
